Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
568	NCT04476017	A Study to Evaluate the Safety and Tolerability of SAGE-718 in Participants With Parkinson's Disease Mild Cognitive Impairment (PD-MCI)		Completed	No Results Available	Parkinson Disease|Cognitive Dysfunction	Drug: SAGE-718	Percentage of Participants With at Least One Treatment-Emergent Adverse Event (TEAE)|Percentage of Participants With Clinically Significant Changes in Vital Sign Measurements|Percentage of Participants With Clinically Significant Changes in Laboratory Assessments|Percentage of Participants With Clinically Significant Changes in Electrocardiogram (ECG) Measurements|Percentage of Participants With Change in Baseline for Responses on the Columbia Suicide Severity Rating Scale (C-SSRS)	Sage Therapeutics	All	50 Years to 75 Years   (Adult, Older Adult)	Phase 2	18	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	718-CNP-201	September 11, 2020	March 25, 2022	March 25, 2022	July 17, 2020		April 25, 2022	Sage Investigational Site, Phoenix, Arizona, United States|Sage Investigational Site, Long Beach, California, United States|Sage Investigational Site, Boca Raton, Florida, United States|Sage Investigational Site, Port Charlotte, Florida, United States|Sage Investigational Site, Saint Petersburg, Florida, United States|Sage Investigational Site, West Palm Beach, Florida, United States|Sage Investigational Site, Atlanta, Georgia, United States|Sage Investigational Site, Chicago, Illinois, United States|Sage Investigational Site, Gaithersburg, Maryland, United States|Sage Investigational Site, Omaha, Nebraska, United States|Sage Investigational Site, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT04476017
569	NCT04956549	Reducing African American's Alzheimer's Risk Through Exercise-Mild Cognitive Impairment (RAATE-MCI)	RAATE-MCI	Recruiting	No Results Available	Dementia of Alzheimer Type	Behavioral: Physical activity program|Behavioral: Successful Aging	Change in executive function|Change in episodic memory|Change in cognitive status|Change in glucose|Change in time spent in physical activity|Change in cardiorespiratory fitness|Change in physical function-NIH Toolbox|Change in telomere length|Change in weight|Change in brain structure|Changes in brain function|Change in lipoproteins|APOE genotype|Change in physical activity|Change in systolic blood pressure|Change in diastolic blood pressure|Change in mood|Change in height|Change in physical function-SPPB	Pennington Biomedical Research Center|National Institute on Aging (NIA)	All	60 Years and older   (Adult, Older Adult)	Not Applicable	144	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	PBRC_2020_013|R01AG067765-01	June 1, 2021	May 2025	May 31, 2026	July 9, 2021		March 3, 2022	Pennington Biomedical Research, Baton Rouge, Louisiana, United States		https://ClinicalTrials.gov/show/NCT04956549
570	NCT05472727	Comparison of Physical Fitness, Walking Speed, Reaction Time In Older Adults With and Without Mild Cognitive Impairment		Not yet recruiting	No Results Available	Reaction Time|Physical Fitness	Other: reaction time test|Other: Physical fitness test	reaction time|physical fitness	Dokuz Eylul University	All	65 Years and older   (Older Adult)		60	Other	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	6987-GOA	August 1, 2022	January 1, 2023	May 1, 2023	July 25, 2022		July 25, 2022			https://ClinicalTrials.gov/show/NCT05472727
571	NCT02214342	Virtual Reality Based Balance Training in People With Mild Cognitive Impairment		Completed	No Results Available	Distorted; Balance|Motor Deficit|Cognitive Deficit	Other: Balance Training	Postural Balance|Gait performance|Cognitive status|Fear of falling|User experience|Depressive signs	University of Arizona|Banner Health	All	Child, Adult, Older Adult	Not Applicable	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1401199972	July 2014	September 2014	September 2014	August 12, 2014		December 16, 2014	Banner Sun Health Research Institute, Sun City, Arizona, United States		https://ClinicalTrials.gov/show/NCT02214342
572	NCT03946254	Effect of Strength Training on Executive Functions in Elderly People With Mild Cognitive Impairment	Executive-19	Unknown status	No Results Available	Strength Training|Executive Function	Other: Effect of strength training on executive functions in elderly people with mild cognitive impairment.	Baseline of Inhibitory control|Mean Change from Baseline in Inhibitory control|Inhibitory control in the follow-up phase|Baseline of general cognition|Mean Change from Baseline in General cognition|General cognition in the follow-up phase|Baseline of physical condition|Mean Change from Baseline in Physical condition|Physical condition in the follow-up phase|Baseline of physical condition variante|Mean Change from Baseline in Physical condition variante|Physical condition variante in the follow-up phase|Baseline of blood test|Mean Change from Baseline in Blood test|Baseline of strength|Mean Change from Baseline in Strength|Strength in the follow-up phase|Baseline of cognitive flexibility|Mean Change from Baseline in cognitive flexibility|cognitive flexibility in the follow-up phase|Baseline of cognitive flexibility variante|Mean Change from Baseline in cognitive flexibility variante|cognitive flexibility variante in the follow-up phase|Baseline of working memory|Mean Change from Baseline in working memory|Working memory in the follow-up phase	University of Seville	All	60 Years and older   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention	University of seville	September 1, 2019	March 15, 2020	June 15, 2020	May 10, 2019		May 10, 2019	Education Faculty, Seville, Spain		https://ClinicalTrials.gov/show/NCT03946254
573	NCT04891887	Diabetes Mellitus and microRNA as Risk Factors for Mild Cognitive Impairment: Impact of Life Style Modification		Completed	No Results Available	Diabetes Mellitus, Type 2	Behavioral: Health education program	HbA1c|Cognitive function|Depression|Health related quality of life|Malondialdehyde|Glutathione Reductase|Glutathione Peroxidase|Total serum cholesterol|LDL|HDL|Triglycerides|Fasting blood glucose|Healthy dietary intake|Physical activities|Social activity|Mental activity|Trail Making Test|Medication compliance|Hypoglycemic attacks|Body weight	National Research Centre, Egypt|Science and Technology Development Fund (STDF)	All	40 Years to 65 Years   (Adult, Older Adult)	Not Applicable	163	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	15026	February 2016	June 2019	June 2019	May 19, 2021		May 19, 2021	National Research Centre, Giza, Egypt		https://ClinicalTrials.gov/show/NCT04891887
574	NCT00000173	Memory Impairment Study (Mild Cognitive Impairment Study)		Completed	No Results Available	Alzheimer Disease	Drug: Donepezil|Drug: Vitamin E		National Institute on Aging (NIA)|Alzheimer's Disease Cooperative Study (ADCS)	All	55 Years to 90 Years   (Adult, Older Adult)	Phase 3		NIH|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment	IA0011|3U01AG010483-08S2	March 1999	January 2004	January 2004	November 1, 1999		December 11, 2009	Barrow Neurological Group, Phoenix, Arizona, United States|University of Arizona, Tucson, Arizona, United States|UC Irvine Institute for Brain Aging and Dementia, Irvine, California, United States|University of Southern California, Los Angeles, California, United States|University of California, Los Angeles, Los Angeles, California, United States|East Bay Institute, Martinez, California, United States|Sutter Institute for Medical Research, Sacramento, California, United States|Affiliated Research Instiute, San Diego, California, United States|University of California, San Diego, San Diego, California, United States|University of California, San Francisco, San Francisco, California, United States|Yale University, New Haven, Connecticut, United States|Baumel-Eisner Neuromedical Institute, Boca Raton, Boca Raton, Florida, United States|Baumel-Eisner Neuromedical Institute, Ft. Lauderdale, Ft. Lauderdale, Florida, United States|Mayo Clinic Jacksonville, Jacksonville, Florida, United States|Wein Center, Miami Beach, Florida, United States|Baumel-Eisner Neuromedical Institute, MiamiBeach, Miami Beach, Florida, United States|University of Miami, Port Charlotte, Florida, United States|University of South Florida, Tampa, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Emory University, Atlanta, Georgia, United States|Augusta VA Medical Center, Augusta, Georgia, United States|Northwestern University, Chicago, Illinois, United States|Rush Presbyterian St. Luke's Medical Center, Chicago, Illinois, United States|Southern Illinois University, Springfield, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Kentucky, Lexington, Kentucky, United States|Johns Hopkins University, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Washington University, St. Louis, Missouri, United States|University of Nevada, Las Vegas, Nevada, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States|Memory Disorders Institute, Lakehurst, New Jersey, United States|Princeton Biomedical Research, PA, Princeton, New Jersey, United States|ClinSearch, Inc., Summit, New Jersey, United States|Princeton Biomedical - Toms River, Toms River, New Jersey, United States|Alzheimer's Research Corp., West Long Branch, New Jersey, United States|Univ. of New Mexico, Albuquerque, New Mexico, United States|Maimonides Medical Center, Brooklyn, New York, United States|NYU Medical Center, New York, New York, United States|Mount Sinai Medical Center, New York, New York, United States|Columbia University, New York, New York, United States|Nathan S. Kline Institute for Psychiatric Research, Orangeburg, New York, United States|University of Rochester, Rochester, New York, United States|SUNY Stony Brook, Stony Brook, New York, United States|Burke Medical Research Institute, White Plains, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|University Hospitals of Cleveland, Cleveland, Ohio, United States|Oregon Health Sciences University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|MCP Hahnemann, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Brown University, Pawtucket, Rhode Island, United States|Medical University of South Carolina, North Charleston, South Carolina, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|Southwestern Vermont Medical Center, Bennington, Vermont, United States|Clinical Neuroscience Research Unit, Burlington, Vermont, United States|University of Washington, Seattle, Washington, United States|Marshfield Clinic, Marshfield, Wisconsin, United States|University of Calgary, Calgary, Alberta, Canada|University of British Columbia, Vancouver, British Columbia, Canada|Fredericton Medical Clinic, Fredericton, New Brunswick, Canada|Geriatric Medicine Research Group, Halifax, Nova Scotia, Canada|St. Joseph's Health Center, London, Ontario, Canada|Elizabeth Bruyere Centre, Ottawa, Ontario, Canada|Sunnybrook Health Science Center, Toronto, Ontario, Canada|Jewish General Hospital Memory Clinic, Montreal, Quebec, Canada|McGill Centre for Studies in Aging, Verdun, Quebec, Canada		https://ClinicalTrials.gov/show/NCT00000173
575	NCT03912571	Sleep Disordered Breathing and Alzheimer's Disease Biomarkers in Normal Aging and Mild Cognitive Impairment		Completed	No Results Available	Sleep Disorder	Diagnostic Test: Structural 3T MRI|Diagnostic Test: MRI Based Perfusion Imaging|Diagnostic Test: VR-CO2 MRI Scans	Decreased cerebral blood flow (CBF)|Measure of vasoreactivity to CO2 (VRCO2)|Increase in cortical AB plaque burden	NYU Langone Health	All	55 Years to 90 Years   (Adult, Older Adult)		28	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	12-00041	November 13, 2011	September 2019	September 2019	April 11, 2019		September 5, 2021	NYU Langone Medical Center, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03912571
576	NCT05466422	A Study of MK-2214 in Adults With Mild Cognitive Impairment or Mild-to-Moderate Alzheimer's Disease (MK-2214-002)		Not yet recruiting	No Results Available	Alzheimer Disease	Biological: MK-2214|Drug: Placebo	Number of Participants Who Experience At Least One Adverse Event (AE)|Number of Participants Who Discontinue Study Treatment Due to an AE|Serum Area Under the Concentration-Time Curve of MK-2214 from Time 0 to 28 Hours (AUC0-28) After First and Third Dose|Serum Maximum Concentration (Cmax) of MK-2214 After First and Third Dose|Serum Time to Maximum Concentration (Tmax) of MK-2214 After First and Third Dose|Serum Apparent Terminal Half-Life (t1/2) of MK-2214 After First and Third Dose|Concentration of MK-2214 in Cerebrospinal Fluid (CSF) at Day 85 (C85d)|Percentage change from baseline to Day 29 in free phospho-tau in CSF|Percentage change from baseline to Day 85 in free phospho-tau in CSF	Merck Sharp & Dohme LLC	All	50 Years to 80 Years   (Adult, Older Adult)	Phase 1	48	Industry	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	2214-002|MK-2214-002	September 16, 2022	August 30, 2024	August 30, 2024	July 20, 2022		September 6, 2022			https://ClinicalTrials.gov/show/NCT05466422
577	NCT01953601	Efficacy and Safety Trial of Verubecestat (MK-8931) in Participants With Prodromal Alzheimer's Disease (MK-8931-019)	APECS	Terminated	Has Results	Amnestic Mild Cognitive Impairment|Alzheimer's Disease|Prodromal Alzheimer's Disease	Drug: Verubecestat 12 mg (Parts 1 and 2)|Drug: Verubecestat 40 mg (Parts 1 and 2)|Other: Placebo (Part 1)	Part 1 (Base Study). Least Squares Mean (LSM) Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 104|Part 2 (Extension Study). Mean Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 130|Part 1 (Base Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE)|Part 1 (Base Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE)|Part 2 (Extension Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE)|Part 2 (Extension Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE)|Part 1 (Base Study). Event-Rate Per 100 Participant Years for Progression to a Clinical Diagnosis of Probable AD Dementia|Part 1 (Base Study). Estimated Least Squares Mean Difference Between the Last (Week 104) and First (Week 13) Post-dose CDR-SB Assessment|Part 1 (Base Study). Least Squares Mean Change From Baseline in the 3-Domain Composite Cognition Score (CCS-3D) at Week 104|Part 1 (Base Study). Least Squares Mean Percent Change From Baseline in Total Hippocampal Volume (THV) at Week 104|Part 1 (Base Study). Least Squares Mean Change From Baseline in Composite Cortical Amyloid Standard Uptake Value Ratio (SUVR) Assessed With Amyloid Tracer [18F]Flutemetamol Using Positron Emission Tomography (PET) Imaging at Week 104|Part 1 (Base Study). Least Squares Mean Change From Baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (Mild Cognitive Impairment Version) (ADCS-ADL MCI) Score at Week 104|Part 1 (Base Study). Mean Percent Change From Baseline in Cerebrospinal Fluid (CSF) Total Tau Concentration at Week 104	Merck Sharp & Dohme LLC	All	50 Years to 85 Years   (Adult, Older Adult)	Phase 3	1454	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	8931-019|2012-005542-38|142502|MK-8931-019	November 5, 2013	April 17, 2018	April 17, 2018	October 1, 2013	May 17, 2019	May 17, 2019		"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/01/NCT01953601/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT01953601
578	NCT03811847	A Pilot of Methylphenidate in Mild Cognitive Impairment and Dementia Participants.		Completed	No Results Available	Alzheimer Dementia	Drug: Methylphenidate Extended Release Oral Capsule|Other: Placebo	Feasibility of a virtual multicrossover randomized control trial design as measured my completion rates and medication compliance.|Feasibility of a virtual multicrossover randomized control trial design determined by qualitative participant feedback.|Cognition as measured by the Repeatable Battery for the Assessment Neuropsychological Status-Update (RBANS)|Cognition as measured by daily, home-based brain games (Lumosity, Lumos Labs, Inc.)|Sleep and activity as measured by Fitbit Charge 3	Massachusetts General Hospital	All	55 Years to 95 Years   (Adult, Older Adult)	Phase 4	8	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care	2018P003099	November 1, 2019	August 30, 2021	August 30, 2021	January 22, 2019		February 2, 2022	Massachusetts General Hospital, Clinical Translational Research Unit, Charlestown, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03811847
579	NCT05404802	Therapeutic Effectiveness of PARO Companion Robot for Elderly With Mild Cognitive Impairment/Dementia in Elderly Residential Setting: A Quasi-experimental Study		Recruiting	No Results Available	Technology	Device: Experimental group intervention|Device: Control group intervention	10 week change in neuropsychiatric symptoms after participating in 10-week PARO training program|10 week change in loneliness after participating in 10-week PARO training program|Change in feelings of stress and anxiety as indicated by pulse rate after participating in PARO training session|Change in feelings of stress and anxiety as indicated by oxygen saturation after participating in PARO training session|Qualitative Measure: Observed emotions|Qualitative Measure: Observed engagement|Qualitative Measure: Observed engagement (compliance)|14 week change in neuropsychiatric symptoms after participating in 10-week PARO training program|14 week change in loneliness after participating in 10-week PARO training program|Change in quality of life after participating in 10-week PARO training program|Change in sleep quality after participating in 10-week PARO training program|Change in cognitive functions after participating in 10-week PARO training program|Qualitative Measure: Perceived feelings, satisfaction and acceptance on companion robot by the participants|Qualitative Measure: Perceived feelings, satisfaction and acceptance on companion robot by the PARO facilitators	The University of Hong Kong|Haven of Hope Hospital|The Social Innovation and Entrepreneurship Development Fund, Hong Kong	All	Child, Adult, Older Adult	Not Applicable	57	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care	HKU_robot_protocol_v3	June 20, 2022	October 2022	October 2022	June 3, 2022		June 27, 2022	Haven of Hope Hang Hau Care and Attention Home for Severely Disabled, Hong Kong, Hong Kong|Haven of Hope Woo Ping Care & Attention Home, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT05404802
580	NCT03274817	A Proof of Concept Study of the Prevention of Mild Cognitive Impairment and Eventual Alzheimer's Disease Using F18 Flutemetamol		Terminated	No Results Available	Alzheimer Disease	Drug: Escitalopram Pill|Drug: Venlafaxine Pill|Drug: Placebo Oral Tablet	Z-score for the hippocampal region of interest in the theta band|Multivariate Z score for overall theta abnormality in the frontal and parieto-temporal regions;|Probability of deterioration from logistic regression predictive of future decline;|Z-score coherence (synchrony) between right central and parietal regions across all bands;|Mean frequency across the total EEG brain spectrum.|Metabolic reduction in the hippocampal formation (a region including the hippocampal subiculum and the entorhinal cortex) assessed bilaterally.|Brief Cognitive Rating Scale Axes I to V total scores|The Mini-Mental State Examination (MMSE) total scores|MAC-Q total score	NYU Langone Health	All	60 Years to 80 Years   (Adult, Older Adult)	Phase 1	5	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention	09-0228	June 18, 2009	September 25, 2019	September 25, 2019	September 7, 2017		June 2, 2020	New York University School of Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT03274817
581	NCT02874300	Promoting Activity, Independence and Stability in Early Dementia	PrAISED	Completed	No Results Available	Dementia MCI (Mild Cognitive Impairment)	Other: High intensity supervision arm|Other: Moderate intensity supervision arm	Disability Assessment in Dementia (Gelinas and Gauthier, 1994)|Falls (defined as 'unintentionally coming to rest on the ground or at a lower level, however caused')	Nottingham University Hospitals NHS Trust|National Institute for Health Research, United Kingdom	All	65 Years and older   (Older Adult)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	16HC001	September 2016	March 31, 2018	March 26, 2019	August 22, 2016		May 22, 2019			https://ClinicalTrials.gov/show/NCT02874300
582	NCT03819699	Study With Lu AF20513 in Patients With Mild Alzheimer's Disease (AD) or Mild Cognitive Impairment (MCI) Due to AD		Terminated	No Results Available	Alzheimer Disease	Drug: Lu AF20513|Biological: booster vaccine	AUC|Cmax|Titre response|Amyloid load	H. Lundbeck A/S	All	50 Years to 85 Years   (Adult, Older Adult)	Phase 1	3	Industry	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	18086A	December 12, 2018	June 27, 2019	June 27, 2019	January 28, 2019		February 21, 2020	University of Eastern Finland, Brain Research Unit (FI002), Kuopio, Finland|Clinical Research Services Turku Oy (FI001), Turku, Finland|Karolinska University Hospital, Huddinge (SE001), Stockholm, Sweden		https://ClinicalTrials.gov/show/NCT03819699
583	NCT03019536	A Study of LY3303560 in Participants With Mild Cognitive Impairment or Alzheimer's Disease		Completed	No Results Available	Alzheimer Disease	Drug: LY3303560 - IV|Drug: Placebo - IV|Drug: Florbetapir F 18|Drug: Flortaucipir F18	Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration|Pharmacokinetics: Maximum Serum Concentration (Cmax) of LY3303560|Pharmacokinetics: Area Under the Serum Concentration Time Curve During the Dosing Interval (AUC) of LY3303560	Eli Lilly and Company	All	50 Years and older   (Adult, Older Adult)	Phase 1	24	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	16452|I8G-MC-LMDD|2016-002102-39	January 31, 2017	June 5, 2019	June 5, 2019	January 12, 2017		July 5, 2019	Bioclinica, Melbourne, Florida, United States|Bioclinica, Orlando, Florida, United States|Progressive Medical Research, Port Orange, Florida, United States|Bioclinica, The Villages, Florida, United States|Princeton Medical Institute, Princeton, New Jersey, United States|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Bunkyo-ku, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Hyogo, Japan|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Kurume, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Tokyo, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Bath, United Kingdom|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., London, United Kingdom		https://ClinicalTrials.gov/show/NCT03019536
584	NCT05079464	Exercise as a Primer for Brain Stimulation in Vascular Cognitive Impairment No Dementia (VCIND)	EXPRESS-V	Recruiting	No Results Available	Vascular Cognitive Impairment|Mild Cognitive Impairment	Other: tDCS|Other: Exercise|Other: Sham stimulation|Other: Treatment as usual	Montreal Cognitive Assessment - Global Cognition|Cognitive domains|Behavioural measures	Sunnybrook Health Sciences Centre	All	50 Years and older   (Adult, Older Adult)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	3348	November 22, 2021	September 2023	September 2024	October 15, 2021		February 28, 2022	Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT05079464
585	NCT03784183	Neuropsychological and Neurophysiological Effects of Cognitive Stimulation in Patients With Alzheimer's Disease and Mild Cognitive Impairment		Unknown status	No Results Available	Alzheimer Disease	Other: Cognitive Stimulation (CS)	Change in global cognition as assessed by Mini Mental State Examination|Change in dementia severity as assessed by Clinical Dementia Rating Scale|Change in frontal functions as assessed by Frontal Assessment Battery|Change in verbal memory as assessed by Rey Auditory Verbal Learning Test|Change in attention as assessed by Visual Search Test|Change in visuospatial functions as assessed by Clock Drawing Test|Change in naming as assessed by Boston Naming Test|Change in synaptic plasticity as assessed by Paired Associative Stimulation|Change in blinking as assessed by Blink Rate Evaluation	University of Roma La Sapienza	All	60 Years to 85 Years   (Adult, Older Adult)	Not Applicable	126	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	BSP-2018	September 27, 2018	October 1, 2020	October 1, 2020	December 21, 2018		December 21, 2018	Department of Human Neuroscience, Sapienza University of Rome, Rome, Italy		https://ClinicalTrials.gov/show/NCT03784183
586	NCT04182529	Photo Neuro-Modulation Therapy to Adults		Unknown status	No Results Available	Photo Neuro-Modulation Therapy, Mild Cognitive Impairment	Device: Photoneuromodulation therapy|Other: Sham	N-Back Test (cognitive test battery)|Category Fluency Test|The Hong Kong List Learning Test|The Chinese Version of the Mattis Dementia Rating Scale|NIRS Recording|EEG Recordings	Chinese University of Hong Kong	All	40 Years and older   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017.354	October 31, 2017	June 2020	July 2020	December 2, 2019		December 2, 2019	Neuropsychology Laboratory, Department of Psychology, The Chinese University of Hong Kong, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT04182529
587	NCT02667496	Safety Study of Sargramostim in Treating Patients With Mild Cognitive Impairment Due to Alzheimer's Disease		Withdrawn	No Results Available	Dementia Alzheimer's Type	Drug: Sargramostim GZ402664|Drug: Placebo|Drug: Florbetapir F18	Change from baseline in standardized uptake value ratio as measured by PET using florbetapir F18 (Amyvid)|Number of patients experiencing treatment-emergent adverse events (TEAEs)|Change from baseline in CSF analysis|MRI to assess for emergence of amyloid related imaging abnormalities (ARIA)|Measurement of antidrug antibody levels	Sanofi|National Institute on Aging (NIA)	All	40 Years to 80 Years   (Adult, Older Adult)	Phase 2	0	Industry|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	ACT14019|U1111-1163-0793|1UF1AG046143	November 2016	March 31, 2017	March 31, 2017	January 29, 2016		April 7, 2017	Investigational Site Number 840001, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT02667496
588	NCT01238458	Phase II Study for Amyloid Binding Imaging Study of [18F]AV-45 in Patients With Mild Cognitive Impairment, Alzheimer's Disease and Healthy Volunteers	[18F]AV-45	Unknown status	No Results Available	Alzheimer's Disease	Drug: [18F]AV-45 PET amyloid binding imaging	To expand the safety database of [18F]AV-45 PET imaging	Chang Gung Memorial Hospital	All	50 Years and older   (Adult, Older Adult)	Phase 2	150	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	98-1852A	November 2009	November 2011	June 2013	November 10, 2010		September 28, 2012			https://ClinicalTrials.gov/show/NCT01238458
