drug	status	target	atc
thymidine monophosphate	non		
dihydrouracil	non		
dihydroorotic acid	non		
orotic acid	non		
cytidine-5'-triphosphate	non		
uridine	non		
orotidylic acid	non		
ribose-1-phosphate	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
uridine-5'-diphosphate	non		
thymine	non		
uridine monophosphate	non		
deoxyuridine monophosphate	non		
pyrophosphoric acid	non		
n-carbamoylaspartic acid	non		
thymidine	non		
l-glutamine	non		
atp	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
thymidine monophosphate	non		
dihydrouracil	non		
dihydroorotic acid	non		
orotic acid	non		
cytidine-5'-triphosphate	non		
uridine	non		
orotidylic acid	non		
ribose-1-phosphate	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
uridine-5'-diphosphate	non		
thymine	non		
uridine monophosphate	non		
deoxyuridine monophosphate	non		
pyrophosphoric acid	non		
n-carbamoylaspartic acid	non		
thymidine	non		
l-glutamine	non		
atp	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
thymidine monophosphate	non		
dihydrouracil	non		
dihydroorotic acid	non		
orotic acid	non		
cytidine-5'-triphosphate	non		
uridine	non		
orotidylic acid	non		
ribose-1-phosphate	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
uridine-5'-diphosphate	non		
thymine	non		
uridine monophosphate	non		
deoxyuridine monophosphate	non		
pyrophosphoric acid	non		
n-carbamoylaspartic acid	non		
thymidine	non		
l-glutamine	non		
atp	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
thymidine monophosphate	non		
dihydrouracil	non		
dihydroorotic acid	non		
orotic acid	non		
cytidine-5'-triphosphate	non		
uridine	non		
orotidylic acid	non		
ribose-1-phosphate	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
uridine-5'-diphosphate	non		
thymine	non		
uridine monophosphate	non		
deoxyuridine monophosphate	non		
pyrophosphoric acid	non		
n-carbamoylaspartic acid	non		
thymidine	non		
l-glutamine	non		
atp	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
thymidine monophosphate	non		
dihydrouracil	non		
dihydroorotic acid	non		
orotic acid	non		
cytidine-5'-triphosphate	non		
uridine	non		
orotidylic acid	non		
ribose-1-phosphate	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
uridine-5'-diphosphate	non		
thymine	non		
uridine monophosphate	non		
deoxyuridine monophosphate	non		
pyrophosphoric acid	non		
n-carbamoylaspartic acid	non		
thymidine	non		
uridine	non		
phthalic acid	non		
diamino-n-[(4s)-5-anilino-4-{[(2s)-2-{[(1r)-1-carboxyethyl]amino}-4-phenylbutanoyl]amino}-5-oxopentyl]methaniminium	non		
pyromellitic acid	non		
s-(methylmercury)-l-cysteine	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
glycocyamine	non		
tosyl-d-proline	non		
selenoinosine	non		
9-butyl-8-(3,4,5-trimethoxybenzyl)-9h-purin-6-amine	non		
1-3 sugar ring of pentamannosyl 6-phosphate	non		
pyroquilon	non		
pyrazole	non		
indolepropionic acid	non		
4-methyl-umbelliferyl-n-acetyl-chitobiose	non		
1,6-di-o-phosphono-d-allitol	non		
s-mercaptocysteine	non		
ru79072	non		
5-mercapto-2-nitro-benzoic acid	non		
r-9-(2-hydroxypropyl)adenine	non		
n-[(2r)-4-diazonio-3-oxoniumylidene-1-phenylbutan-2-yl]-1-phenylmethoxymethanimidate	non		
biotin	non		
acetoacetic acid	non		
butenoic acid	non		
malonic acid	non		
(r)-3-hydroxytetradecanoic acid	non		
lauric acid	non		
acetic acid	non		
butyric acid	non		
capric acid	non		
palmitic acid	non		
caprylic acid	non		
malonyl-coa	non		
(3r)-3-hydroxydodecanoic acid	non		
myristic acid	non		
(r)-3-hydroxytetradecanoic acid	non		
tert-butyloxycarbonyl group	non		
7-alpha-d-ribofuranosyl-2-aminopurine-5'-phosphate	non		
sucrose	approved		
(3-chloro-4-propoxy-phenyl)-acetic acid	non		
1,3-propanediol	non		
1-hexadecanosulfonic acid	non		
diundecyl phosphatidyl choline	non		
2,5-anhydroglucitol-1,6-biphosphate	non		
dodecyltrimethylammonium	non		
beta-3-cysteine	non		
4-{(z)-[2-[3-(methylsulfanyl)propanoyl]-5-oxo-1-(2-oxoethyl)-1,5-dihydro-4h-imidazol-4-ylidene]methyl}benzenolate	non		
4'-deoxy-4'-acetylyamino-pyridoxal-5'-phosphate	non		
n-(bromoacetyl)-beta-alanyl-n-(2-{4-[(carboxycarbonyl)amino]phenyl}ethyl)-l-serinamide	non		
(2s)-1-[(2s,4r)-4-benzyl-2-hydroxy-5-{[(1s,2r,5s)-2-hydroxy-5-methylcyclopentyl]amino}-5-oxopentyl]-4-{[6-chloro-5-(4-methyl-1-piperazinyl)-2-pyrazinyl]carbonyl}-n-(2-methyl-2-propanyl)-2-piperazineca rboxamide	non		
2-anhydro-3-fluoro-quinic acid	non		
n-acetylmannosaminitol	non		
(s)-acetoin	non		
pregnenolone	approved		
phenyl-uridine-5'-diphosphate	non		
deglucobalhimycin	non		
isochorismic acid	non		
(2s)-2-({4-[(2s)-1-(2-amino-4-oxo-1,4-dihydro-6-quinazolinyl)-3-{[2-({(2r,3r,4s,5r)-3,4-dihydroxy-5-[(phosphonooxy)methyl]tetrahydro-2-furanyl}amino)-2-oxoethyl]amino}-2-hydroxy-2-propanyl]benzoyl}ami no)pentanedioic acid	non		
p-anisic acid	non		
9-deazainosine	non		
3-nitrophenylboronic acid	non		
alpha-methylene adenosine monophosphate	non		
n-[2-(1-maleimidyl)ethyl]-7-diethylaminocoumarin-3-carboxamide	non		
5-hydroxymethyl-5,6-dihydrofolic acid	non		
2,3-anhydro-quinic acid	non		
3-(alpha-d-galactopyranosyloxy)-5-nitrobenzamide	non		
3-phenyl-1,2-propandiol	non		
a-98881	non		
arabinouridine 3'-phosphate	non		
2-methoxyethanol	non		
3-deoxy-d-lyxo-hexonic acid	non		
trifluorofurnesyl diphosphate	non		
brodimoprim-4,6-dicarboxylate	non		
n-(2-acetamido)iminodiacetic acid	non		
diethyl phosphonate	non		
rwj-56423	non		
2-acetamido-2-deoxy-d-glucono-1,5-lactone	non		
3'-deazo-thiamin diphosphate	non		
7-(1-methyl-1,2,3-triazol-4-yl)-6-formyl-2,7-dihydro-[1,4]thiazepine-3-carboxylic acid, brl42715, c6-(n1-methyl-1,2,3-triazolylmethylene)penem	non		
5-exo-hydroxycamphor	non		
iodo-willardiine	non		
mono-[3,4-dihydroxy-5-(5-methyl-benzoimidazol-1-yl)-tetrahydor-furan-2-ylmethyl] ester	non		
1-azepan-1-yl-2-phenyl-2-(4-thioxo-1,4-dihydro-pyrazolo[3,4-d]pyrimidin-5-yl)ethanone adduct	non		
canaline	non		
para-bromobenzyl alcohol	non		
phosphonoacetic acid	non		
n-pyridoxyl-glycine-5-monophosphate	non		
methylphosphinate	non		
7-(1,1-dioxo-1h-benzo[d]isothiazol-3-yloxymethyl)-2-(oxalyl-amino)-4,7-dihydro-5h-thieno[2,3-c]pyran-3-carboxylic acid	non		
5-fluorolevulinic acid	non		
4-(acetylamino)-3-[(aminoacetyl)amino]benzoic acid	non		
fr236913	non		
dihydrogenphosphate	non		
siroheme	non		
[4-(2-amino-4-methyl-thiazol-5-yl)-pyrimidin-2-yl]-(3-nitro-phenyl)-amine	non		
idd552	non		
alpha-d-glucose 1,6-bisphosphate	non		
guanosine 5'-diphosphate 2':3'-cyclic monophosphate	non		
4-(hydrogen sulfate)-beta-d-galactopyranose	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
flavin adenine dinucleotide	non		
urea	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
2,4-dihydroxybenzoic acid	non		
