disease_area	nct	year	intervention_name	drug	regulatory_status	approval_year	patient_years	gen_assoc	target_gene	target_status	classification	priority
alzheimer	NCT01547169	2011	insulin detemir	insulin	approved		105.29774127310061		INSR	approved	repurposing	3
alzheimer	NCT01548287	2012	azd5213	azd5213	experimental		123.47707049965777		HRH3	approved	metoo	5
alzheimer	NCT01548430	2011	ttp4000	ttp4000	experimental		10.710472279260781			non	novel, unsup	2
alzheimer	NCT01549834	2012	abt-126	abt-126	experimental		687.9835728952772		CHRNA7	approved	metoo	5
ftd/als	NCT01551940	2012	botox injection	botulinum toxin a	approved		37.40451745379877		SNAP25	approved	repurposing	3
alzheimer	NCT01554683	2012	low/high/placebo dose keppra (levetiracetam)	levetiracetam	approved				SV2A	approved	repurposing	3
parkinson	NCT01556165	2012	rasagiline	rasagiline	approved	2006			MAOB	approved	post-approval	7
alzheimer	NCT01560585	2012	isotretinoin	isotretinoin	approved					non	repurposing	3
parkinson	NCT01560754	2012	nicotine transdermal patch	nicotine	approved				CHRNA4	approved	repurposing	3
alzheimer	NCT01561430	2012	ly2886721	ly2886721	experimental		99.27446954141		BACE1	non	novel, unsup	2
parkinson	NCT01563913	2012	docosahexaenoic acid (dha)	doconexent	approved		120.97741273100615		PPARA	approved	repurposing	3
multiple	NCT01565395	2012	incobotulinum toxin a	botulinum toxin a	approved		0		SNAP25	approved	repurposing	3
parkinson	NCT01568034	2009	levodopa/benzerazide	levodopa,benserazide	combination		8.37782340862423		DRD1	approved	combination	4
parkinson	NCT01568047	2010	levodopa/benzerazide	levodopa,benserazide	combination		13.141683778234086		DRD1	approved	combination	4
parkinson	NCT01568073	2011	benserazide	benserazide	approved		1603.2854209445586		DDC	approved	repurposing	3
parkinson	NCT01568099	2012	affitope® pd01a	affitope pd01a	experimental		71.84120465434634	OMIM	SNCA	non	novel, supported	1
alzheimer	NCT01569516	2011	octohydroaminoacridine succinate tablets	octohydroaminoacridine	experimental				ACHE	approved	metoo	5
alzheimer	NCT01584440	2012	avp-923 (dextromethorphan/quinidine)	dextromethorphan,quinidine	combination		495.11293634496917		SIGMAR1	approved	combination	4
alzheimer	NCT01585272	2012	ena713	rivastigmine	approved	2000	342.5434633812457		ACHE	approved	post-approval	7
huntington	NCT01590888	2012	pbt2	pbt2	experimental		200.24366872005476			non	novel, unsup	2
alzheimer	NCT01594346	2000	alpha-tocopherol	vitamin e	supplement		3343.3292265571527		NR1I2	approved	metoo	5
alzheimer	NCT01595646	2011	insulin	insulin	approved		124.29568788501027		INSR	approved	repurposing	3
alzheimer	NCT01600469	2012	daoi-b	daoi	experimental		114.43121149897331			non	novel, unsup	2
alzheimer	NCT01600859	2012	e2609	elenbecestat	experimental		81.32785763175907		BACE1	non	novel, unsup	2
alzheimer	NCT01602393	2012	chf 5074 1x	chf 5074	experimental		72.32854209445586	OMIM	PSEN1	non	novel, supported	1
parkinson	NCT01602549	2012	gsk962040 (25 mg tablet)	gsk962040	experimental		106.2340862422998		MLNR	non	novel, unsup	2
parkinson	NCT01603069	2012	azd3241 300 mg bid	verdiperstat	experimental		33.93018480492813		MPO	non	novel, unsup	2
alzheimer	NCT01608217	2012	acetaminophen	acetaminophen	approved		99.9315537303217			non	repurposing	3
alzheimer	NCT01609348	2012	venlafaxine	venlafaxine	approved		23.76454483230664		SLC6A4	approved	repurposing	3
alzheimer	NCT01614886	2012	ena713	rivastigmine	approved	2000	395.63039014373715		ACHE	approved	post-approval	7
parkinson	NCT01617135	2012	sinemet (carbidopa/levodopa)	carbidopa,levodopa	combination		14.647501711156742		DRD1	approved	combination	4
alzheimer	NCT01617577	2009	g-csf; filgrastim	g-csf	approved		21.35523613963039		CSF3R	approved	repurposing	3
parkinson	NCT01621581	2012	convection enhanced delivery/aav2-gdnf	aav2-gdnf	experimental		241.82067077344286		GDNF	non	novel, unsup	2
ftd/als	NCT01622088	2012	dexpramipexole	dexpramipexole	experimental		413.1964407939767			non	novel, unsup	2
ftd/als	NCT01626378	2013	trx0237	lmtm	experimental		605.9411362080766	OMIM	MAPT	non	novel, supported	1
alzheimer	NCT01626391	2012	trx0237	lmtm	experimental		4.459958932238193		MAPT	non	novel, unsup	2
parkinson	NCT01628848	2006	spm 962	rotigotine	approved	2007	290.11909650924025		DRD3	approved	pre-approval	6
parkinson	NCT01628926	2009	ropinirole	ropinirole	approved	1997	803.7782340862423		DRD3	approved	post-approval	7
parkinson	NCT01628965	2008	spm 962	rotigotine	approved	2007	393.07871321013005		DRD3	approved	post-approval	7
parkinson	NCT01631812	2006	spm 962	rotigotine	approved	2007	412.1560574948665		DRD3	approved	pre-approval	6
parkinson	NCT01634243	2005	spm 962	rotigotine	approved	2007	84.98288843258042		DRD3	approved	pre-approval	6
parkinson	NCT01634360	2004	perampanel	perampanel	approved		662.5051334702259		GRIA1	approved	repurposing	3
alzheimer	NCT01636596	2013	insulin lispro	insulin	approved		0		INSR	approved	repurposing	3
parkinson	NCT01646255	2012	l-dopa	levodopa	approved	1975	778.6776180698151		DRD1	approved	post-approval	7
parkinson	NCT01646268	2012	rotigotine	rotigotine	approved	2007	456.07392197125256		DRD3	approved	post-approval	7
parkinson	NCT01652534	2011	amantadine	amantadine	approved	2003	12.501026694045175		GRIN3A	approved	post-approval	7
parkinson	NCT01653132	2012	incobotulinum toxin a	botulinum toxin a	approved		25.023956194387406		SNAP25	approved	repurposing	3
alzheimer	NCT01656525	2012	gantenerumab	gantenerumab	experimental		55.96167008898015	OMIM	APP	non	novel, supported	1
alzheimer	NCT01661673	2012	evp-0962	evp-0962	experimental					non	novel, unsup	2
parkinson	NCT01662791	2012	rifaximin	rifaximin	approved		122.21492128678987			non	repurposing	3
alzheimer	NCT01669876	2012	anatabloc(r)	anatabloc(r)	supplement		212.70362765229294		STAT3	non	novel, unsup	2
parkinson	NCT01673724	2012	bromocriptine	bromocriptine	approved		521.1033538672142		DRD2	approved	repurposing	3
parkinson	NCT01676103	2012	tyrosine	tyrosine	supplement		46.652977412731005			non	novel, unsup	2
alzheimer	NCT01676935	2012	abt-126	abt-126	experimental		551.3292265571527		CHRNA7	approved	metoo	5
alzheimer	NCT01677572	2012	aducanumab (recombinant, fully human anti-aβ igg1 mab)	aducanumab	experimental		1342.9979466119096	OMIM	APP	non	novel, supported	1
alzheimer	NCT01677754	2012	ro4602522	sembragiline	experimental		1426.0424366872005		MAOB	approved	metoo	5
parkinson	NCT01683253	2012	levodopa/carbidopa(200mg/50mg)	carbidopa,levodopa	combination		312.11498973305953		DRD1	approved	combination	4
parkinson	NCT01683292	2006	inhaled vr040	apomorphine	approved	2004	38.507871321013006		DRD4	approved	post-approval	7
parkinson	NCT01684475	2012	cjh1 (clr4001)	cjh1	experimental					non	novel, unsup	2
alzheimer	NCT01689233	2012	trx0237 200 mg/day	lmtm	experimental		2864.887063655031		MAPT	non	novel, unsup	2
alzheimer	NCT01689246	2013	trx0237 150 mg/day	lmtm	experimental		2522.3655030800824		MAPT	non	novel, unsup	2
alzheimer	NCT01690195	2012	abt-126	abt-126	experimental		486.44490075290895		CHRNA7	approved	metoo	5
parkinson	NCT01693081	2007	vr040/aspirair® inhaler	apomorphine	approved	2004	109.76317590691308		DRD4	approved	post-approval	7
alzheimer	NCT01696123	2011	mlc601	mlc601	supplement		197.80971937029432			non	novel, unsup	2
alzheimer	NCT01699711	2012	epigallocatechin-3-gallate (egcg)	epigallocatechin gallate	experimental		267.7289527720739			non	novel, unsup	2
alzheimer	NCT01701089	2012	ro4602522	sembragiline	experimental		11.263518138261464		MAOB	approved	metoo	5
alzheimer	NCT01702480	2012	gsk2981710	gsk2981710	experimental		308.06297056810405			non	novel, unsup	2
alzheimer	NCT01703117	2013	riluzole	riluzole	approved				SCN5A	approved	repurposing	3
ftd/als	NCT01709149	2012	ck-2017357	tirasemtiv	experimental		1004.4517453798768		TNNC1	approved	metoo	5
parkinson	NCT01711866	2012	rotigotine	rotigotine	approved	2007	43.1129363449692		DRD3	approved	post-approval	7
alzheimer	NCT01712074	2012	pf-05212377 (sam-760)	sam-760	experimental		526.5544147843942		HTR6	approved	metoo	5
alzheimer	NCT01715350	2012	pm012	pm012	supplement		465.50581793292264			non	novel, unsup	2
alzheimer	NCT01716637	2010	curcum.luteol.theaflav.lip.acid,fishoil,quercet.,resveratr.	curcumin	supplement					non	novel, unsup	2
parkinson	NCT01721460	2012	dexmedetomidine	dexmedetomidine	approved		15.474332648870636		ADRA2A	approved	repurposing	3
parkinson	NCT01723228	2012	rasagiline	rasagiline	approved	2006	368.1587953456537		MAOB	approved	post-approval	7
alzheimer	NCT01723670	2012	chf 5074 1x	chf 5074	experimental		0	OMIM	PSEN1	non	novel, supported	1
alzheimer	NCT01723826	2012	crenezumab	crenezumab	experimental		1502.094455852156	OMIM	APP	non	novel, supported	1
parkinson	NCT01723904	2012	rotigotine	rotigotine	approved	2007	44.84599589322382		DRD3	approved	post-approval	7
parkinson	NCT01725802	2012	levodopa and carbidopa solution for sc administration	carbidopa,levodopa	combination		6.0013689253935665		DRD1	approved	combination	4
alzheimer	NCT01735630	2012	elnd005	scyllo-inositol	experimental		872.9637234770705			non	novel, unsup	2
parkinson	NCT01736176	2013	levodopa-carbidopa immediate release (lc-ir) tablets	carbidopa,levodopa	combination		107.31006160164272		DRD1	approved	combination	4
parkinson	NCT01736891	2011	rasagiline	rasagiline	approved	2006	424.104038329911		MAOB	approved	post-approval	7
parkinson	NCT01738178	2014	caffeine	caffeine	approved		317.65913757700207		ADORA1	approved	repurposing	3
parkinson	NCT01738191	2012	atomoxetine	atomoxetine	approved		52.40246406570842		SLC6A2	approved	repurposing	3
alzheimer	NCT01739348	2012	verubecestat (part i and part ii)	verubecestat	experimental		9661.207392197126		BACE1	non	novel, unsup	2
alzheimer	NCT01741194	2013	ac-1204	tricaprilin	experimental		1722.3545516769336			non	novel, unsup	2
parkinson	NCT01741701	2012	oxaloacetate (oaa)	oxaloacetic acid	supplement		60.4435318275154			non	novel, unsup	2
parkinson	NCT01744496	2012	rotigotine	rotigotine	approved	2007	79.31006160164272		DRD3	approved	post-approval	7
ftd/als	NCT01753076	2012	ozanezumab	ozanezumab	experimental		635.0499657768652		RTN4	non	novel, unsup	2
alzheimer	NCT01760005	2012	gantenerumab	gantenerumab	experimental			OMIM	APP	non	novel, supported	1
alzheimer	NCT01764243	2012	mt-4666	encenicline	experimental		1197.535934291581		CHRNA7	approved	metoo	5
parkinson	NCT01765257	2013	azilect®	rasagiline	approved	2006			MAOB	approved	post-approval	7
parkinson	NCT01766128	2013	zonisamide	zonisamide	approved				SCN1A	approved	repurposing	3
parkinson	NCT01766258	2011	odm-101 105mg carbidopa	carbidopa,levodopa,entacapone	combination		156.64065708418892		DRD1	approved	combination	4
alzheimer	NCT01766336	2013	group 1 elnd005	elnd005	experimental		763.4004106776181			non	novel, unsup	2
parkinson	NCT01767129	2013	avp-923-45	dextromethorphan,quinidine	combination		24.49281314168378		SIGMAR1	approved	combination	4
alzheimer	NCT01767311	2012	ban2401 10 mg/kg	lecanemab	experimental		7792.470910335387	OMIM	APP	non	novel, supported	1
alzheimer	NCT01767909	2014	insulin (humulin® r u-100)	insulin	approved		1176.514715947981		INSR	approved	repurposing	3
parkinson	NCT01770145	2012	trimethobenzamide	trimethobenzamide	approved		168.98562628336757			non	repurposing	3
ftd/als	NCT01776970	2013	cannabis sativa extract oromucosal spray	cannabidiol	approved		174.78439425051334		CNR1	approved	repurposing	3
parkinson	NCT01777555	2013	cvt-301	levodopa	approved	1975	67.00889801505818		DRD1	approved	post-approval	7
alzheimer	NCT01778946	2013	low dose nicotine (7mg)	nicotine	approved				CHRNA4	approved	repurposing	3
alzheimer	NCT01780519	2013	lorazepam	lorazepam	approved		208.96098562628336		GABRA1	approved	repurposing	3
alzheimer	NCT01780974	2013	lipoic acid plus omega-3 fatty acids	lipoic acid	supplement		104.98562628336755			non	novel, unsup	2
parkinson	NCT01782222	2013	rotigotine	rotigotine	approved	2007	131.26899383983573		DRD3	approved	post-approval	7
alzheimer	NCT01782742	2013	bexarotene	bexarotene	approved		36.577686516084874		RXRA	approved	repurposing	3
parkinson	NCT01785628	2010	sarcosine capsule	sarcosine	experimental		57.49486652977413			non	novel, unsup	2
ftd/als	NCT01786174	2013	gilenya	fingolimod	approved		52.40246406570842		S1PR5	approved	repurposing	3
ftd/als	NCT01786603	2013	rasagiline	rasagiline	approved		214.42847364818618		MAOB	approved	repurposing	3
parkinson	NCT01789047	2013	topiramate	topiramate	approved		140.05749486652977		GABRA1	approved	repurposing	3
parkinson	NCT01789385	2013	dexmedetomidine	dexmedetomidine	approved		4.199863107460644		ADRA2A	approved	repurposing	3
alzheimer	NCT01795339	2013	azd3293	lanabecestat	experimental		46.9678302532512		BACE1	non	novel, unsup	2
huntington	NCT01795859	2013	sd-809	deutetrabenazine	approved	2017	120		SLC18A2	approved	pre-approval	6
parkinson	NCT01796483	2012	clonidine (catapressan)	clonidine	approved		135.64134154688568		ADRA2A	approved	repurposing	3
parkinson	NCT01803945	2013	ave8112	ave8112	experimental				PDE4A	approved	metoo	5
ftd/als	NCT01806857	2013	nuedexta	dextromethorphan,quinidine	combination		172.2381930184805		SIGMAR1	approved	combination	4
huntington	NCT01806896	2013	pf-02545920	mardepodect	experimental		49.333333333333336			non	novel, unsup	2
alzheimer	NCT01807026	2013	ly2886721	ly2886721	experimental		6.012320328542095		BACE1	non	novel, unsup	2
ftd/als	NCT01811355	2013	mexiletine	mexiletine	approved		69.01574264202601		SCN5A	approved	repurposing	3
ftd/als	NCT01825551	2012	granulocyte colony stimulating factor	g-csf	approved		39.97262149212868		CSF3R	approved	repurposing	3
alzheimer	NCT01825577	2012	transdermal methylphenidate	methylphenidate	approved		31.50718685831622		SLC6A3	approved	repurposing	3
parkinson	NCT01829867	2013	snn0031	snn0031	experimental		12.498288843258042		PDGFB	non	novel, unsup	2
alzheimer	NCT01832350	2012	nuedexta (20/10)	dextromethorphan,quinidine	combination		144.84325804243667		SIGMAR1	approved	combination	4
ftd/als	NCT01835782	2013	l-serine	serine	supplement					non	novel, unsup	2
alzheimer	NCT01837641	2013	ly3002183-sc	donanemab	experimental			OMIM	APP	non	novel, supported	1
alzheimer	NCT01841125	2011	escitalopram	escitalopram	approved		223.7700205338809		SLC6A4	approved	repurposing	3
alzheimer	NCT01843075	2014	liraglutide	liraglutide	approved		1206.406570841889		GLP1R	approved	repurposing	3
parkinson	NCT01844648	2013	nh004 tropicamide	tropicamide	approved		80		CHRM4	approved	repurposing	3
alzheimer	NCT01845636	2012	atropine	atropine	approved		146.82546201232032		CHRM1	approved	repurposing	3
alzheimer	NCT01849042	2013	donepezil	donepezil	approved	1996			ACHE	approved	post-approval	7
ftd/als	NCT01849770	2013	mexiletine	mexiletine	approved		81.3141683778234		SCN5A	approved	repurposing	3
alzheimer	NCT01850238	2013	aadvac1	aadvac1	experimental		54.94866529774127		MAPT	non	novel, unsup	2
parkinson	NCT01850381	2013	gm608	gm608	experimental		6.48870636550308			non	novel, unsup	2
parkinson	NCT01851850	2013	opicapone	opicapone	approved	2020	3.0636550308008212		COMT	approved	pre-approval	6
alzheimer	NCT01852110	2013	mk-7622	mk-7622	experimental		592.6899383983573		CHRM1	approved	metoo	5
ftd/als	NCT01854294	2013	gm604	gm604	experimental		10.973305954825461			non	novel, unsup	2
parkinson	NCT01856439	2011	prosavin	prosavin	experimental				TH	approved	metoo	5
parkinson	NCT01856738	2013	rivastigmine	rivastigmine	approved		439.7399041752225		ACHE	approved	repurposing	3
alzheimer	NCT01862640	2013	brexpiprazole, opc-34712	brexpiprazole	approved		1587.3702943189596		HTR1A	approved	repurposing	3
alzheimer	NCT01864655	2013	saracatinib	saracatinib	experimental				FYN	non	novel, unsup	2
alzheimer	NCT01867775	2012	mirtazapine	mirtazapine	approved				HTR2A	approved	repurposing	3
alzheimer	NCT01872598	2012	masitinib	masitinib	experimental		6068.046543463382			non	novel, unsup	2
alzheimer	NCT01876823	2006	es-citalopram	escitalopram	approved		234.9075975359343		SLC6A4	approved	repurposing	3
ftd/als	NCT01879241	2013	rasagiline	rasagiline	approved		798.258726899384		MAOB	approved	repurposing	3
parkinson	NCT01882010	2013	sargramostim	sargramostim	approved		86.30800821355236		CSF2RA	approved	repurposing	3
huntington	NCT01882062	2013	triheptanoin 1g/kg/day	triheptanoin	approved		1.6700889801505818			non	repurposing	3
parkinson	NCT01883505	2013	levodopa and carbidopa	carbidopa,levodopa	combination		22.50513347022587		DRD1	approved	combination	4
alzheimer	NCT01883648	2013	coconut oil beverage	coconut oil	supplement		77.10061601642711			non	novel, unsup	2
ftd/als	NCT01884571	2013	basiliximab	basiliximab	approved		69.7659137577002		IL2RA	approved	repurposing	3
parkinson	NCT01892176	2012	coenzyme q10	ubidecarenone	supplement		10.020533880903491		NDUFV3	approved	metoo	5
huntington	NCT01897896	2013	sd-809	deutetrabenazine	approved	2017	448.95824777549626		SLC18A2	approved	pre-approval	6
alzheimer	NCT01900665	2013	solanezumab	solanezumab	experimental		7641.667351129364	OMIM	APP	non	novel, supported	1
ftd/als	NCT01906658	2013	repository corticotropin injection	corticotropin	approved		60.982888432580424		MC2R	approved	repurposing	3
alzheimer	NCT01908010	2013	abt-354	abt-354	experimental		6.7351129363449695		HTR6	approved	metoo	5
huntington	NCT01914965	2012	bupropion	bupropion	approved		76.55030800821355		SLC6A3	approved	repurposing	3
alzheimer	NCT01921972	2004	galantamine cr	galantamine	approved	2001	1042.9678302532511		ACHE	approved	post-approval	7
alzheimer	NCT01922258	2013	brexpiprazole, opc-34712	brexpiprazole	approved		943.9835728952772		HTR1A	approved	repurposing	3
parkinson	NCT01923584	2013	epi-743 200mg	vatiquinone	experimental		41.23203285420944		ALOX15	non	novel, unsup	2
parkinson	NCT01927055	2013	droxidopa	droxidopa	approved		76.32306639288159		ADRA1A	approved	repurposing	3
alzheimer	NCT01928420	2007	drug: nic5-15	d-pinitol	supplement		215.03080082135523			non	novel, unsup	2
parkinson	NCT01929317	2013	ropinirole cr 2mg tablet	ropinirole	approved	1997	144.14784394250515		DRD3	approved	post-approval	7
alzheimer	NCT01931566	2013	pioglitazone	pioglitazone	approved		17811.986310746066		PPARG	approved	repurposing	3
ftd/als	NCT01935518	2013	fasudil	fasudil	experimental					non	novel, unsup	2
ftd/als	NCT01937013	2013	intranasal oxytocin	oxytocin	approved		222.23682409308694		OXTR	approved	repurposing	3
parkinson	NCT01937078	2011	famotidine	famotidine	approved		20.410677618069816		HRH2	approved	repurposing	3
alzheimer	NCT01940952	2013	zydena (udenafil) 100mg + donepezil 5mg or 10mg	udenafil	approved				PDE5A	approved	repurposing	3
parkinson	NCT01941732	2003	sildenafil	sildenafil	approved		2.650239561943874		PDE5A	approved	repurposing	3
alzheimer	NCT01948791	2014	ena713	rivastigmine	approved	2000	240.6899383983573		ACHE	approved	post-approval	7
alzheimer	NCT01951118	2013	donepezil	donepezil	approved	1996	675.1485284052019		ACHE	approved	post-approval	7
alzheimer	NCT01953601	2013	verubecestat 12 mg (parts 1 and 2)	verubecestat	experimental		6464.876112251883		BACE1	non	novel, unsup	2
alzheimer	NCT01953705	2014	omega 3 pufa	DHA,EPA	approved		535.6221765913758		PPARA	approved	repurposing	3
alzheimer	NCT01955161	2013	idalopirdine	idalopirdine	experimental		2564.6324435318274		HTR6	approved	metoo	5
parkinson	NCT01955616	2013	rm-131	relamorelin	experimental		35.97535934291581		GHSR	non	novel, unsup	2
alzheimer	NCT01965756	2013	metformin	metformin	approved		84.92813141683779		PRKAB1	approved	repurposing	3
alzheimer	NCT01966666	2013	tpi-287 2 mg/m2	tpi-287	experimental		169.1170431211499		MAPT	non	novel, unsup	2
parkinson	NCT01968031	2013	istradefylline 20 mg	istradefylline	approved	2019	1839.419575633128		ADORA2A	approved	pre-approval	6
parkinson	NCT01968460	2013	p2b001 once daily (pramipexole 0.3 mg / rasagiline 0.75 mg),	pramipexole,rasagiline	combination		223.14305270362766		DRD3	approved	combination	4
alzheimer	NCT01969123	2013	drug: evp-6124	encenicline	experimental		1541.7166324435318		CHRNA7	approved	metoo	5
alzheimer	NCT01969136	2013	drug: evp-6124	encenicline	experimental		1310.7843942505133		CHRNA7	approved	metoo	5
parkinson	NCT01971242	2014	exenatide	exenatide	approved		130.10266940451746		GLP1R	approved	repurposing	3
parkinson	NCT01973543	2013	vy-aadc01	vy-aadc01	experimental		94.70225872689939		DDC	approved	metoo	5
alzheimer	NCT01978548	2013	jnj-54861911 10 mg	atabecestat	experimental		59.87679671457906		BACE1	non	novel, unsup	2
alzheimer	NCT01982578	2017	genistein	genistein	supplement					non	novel, unsup	2
parkinson	NCT01993680	2012	fludrocortisone	fludrocortisone	approved				NR3C2	approved	repurposing	3
parkinson	NCT01994109	2013	myobloc	botulinum toxin b	approved		592.3586584531143		VAMP1	approved	repurposing	3
alzheimer	NCT01998841	2013	crenezumab	crenezumab	experimental		2062.2258726899386	OMIM	APP	non	novel, supported	1
ftd/als	NCT01999803	2014	snn0029	snn0029	experimental		16.2217659137577		VEGFA	approved	metoo	5
alzheimer	NCT02002819	2014	levetiracetam	levetiracetam	approved				SV2A	approved	repurposing	3
alzheimer	NCT02004392	2014	evp-6124	encenicline	experimental		1102.3572895277207		CHRNA7	approved	metoo	5
parkinson	NCT02005029	2013	erythromycin	erythromycin	approved		38.98151950718686			non	repurposing	3
parkinson	NCT02006121	2014	apomorphine hydrochloride	apomorphine	approved	2004	349.4893908281999		DRD4	approved	post-approval	7
parkinson	NCT02006290	2014	pf-06412562	pf-06412562	experimental		7.958932238193018		DRD1	approved	metoo	5
huntington	NCT02006472	2014	pridopidine	pridopidine	experimental		1022.0944558521561		SIGMAR1	approved	metoo	5
alzheimer	NCT02006641	2014	idalopirdine	idalopirdine	experimental		2428.944558521561		HTR6	approved	metoo	5
alzheimer	NCT02006654	2014	idalopirdine	idalopirdine	experimental		2083.937029431896		HTR6	approved	metoo	5
alzheimer	NCT02008357	2014	solanezumab	solanezumab	experimental			OMIM	APP	non	novel, supported	1
alzheimer	NCT02008513	2013	affitope® ad02	affitope ad02	experimental		242.73237508555783	OMIM	APP	non	novel, supported	1
alzheimer	NCT02017340	2013	nilvadipine	nilvadipine	approved		1863.523613963039		CACNA1C	approved	repurposing	3
parkinson	NCT02018406	2013	combination injection of epo and g-csf	erythropoietin	approved		112.01095140314852		EPOR	approved	repurposing	3
alzheimer	NCT02031198	2014	aadvac1	aadvac1	experimental		72.8952772073922		MAPT	non	novel, unsup	2
alzheimer	NCT02033941	2014	meganatural-az grapeseed extract	grape	supplement					non	novel, unsup	2
alzheimer	NCT02035553	2013	pimavanserin tartrate	pimavanserin	approved		540.6461327857631		HTR2A	approved	repurposing	3
alzheimer	NCT02035982	2010	cholinesterase inhibitor	galantamine,donepezil,rivastigmine	combination		206.7624914442163		ACHE	approved	combination	4
alzheimer	NCT02036645	2014	medi1814 for iv injection	medi1814	experimental		201.1170431211499	OMIM	APP	non	novel, supported	1
ftd/als	NCT02039401	2014	vm202	vm202	experimental		68.94455852156058		HGF	non	novel, unsup	2
alzheimer	NCT02045056	2014	gemfibrozil	gemfibrozil	approved		366.06160164271046		PPARA	approved	repurposing	3
alzheimer	NCT02051608	2014	gantenerumab	gantenerumab	experimental		2750.956878850103	OMIM	APP	non	novel, supported	1
parkinson	NCT02055274	2013	ly03003	rotigotine	approved	2007	71.43326488706366		DRD3	approved	post-approval	7
ftd/als	NCT02059759	2015	1.0 miu il-2 per day	il-2	approved		23.95071868583162		IL2RA	approved	repurposing	3
alzheimer	NCT02063269	2014	rivastigmine	rivastigmine	approved	2000			ACHE	approved	post-approval	7
alzheimer	NCT02063308	2014	oxaloacetate (oaa)	oxaloacetic acid	supplement		1.9712525667351128			non	novel, unsup	2
parkinson	NCT02064166	2014	intranasal insulin	insulin	approved		23.696098562628336		INSR	approved	repurposing	3
parkinson	NCT02066571	2015	droxidopa	droxidopa	approved				ADRA1A	approved	repurposing	3
huntington	NCT02074410	2014	oms643762	oms824	experimental		17.286789869952088		PDE10A	approved	metoo	5
alzheimer	NCT02078310	2014	iti-007	lumateperone	approved		26.16016427104723		HTR2A	approved	repurposing	3
alzheimer	NCT02079246	2014	idalopirdine 60 mg	idalopirdine	experimental		4750.494182067077		HTR6	approved	metoo	5
alzheimer	NCT02079909	2014	t-817ma-h	edonerpic	experimental		1532.1067761806983			non	novel, unsup	2
alzheimer	NCT02080364	2015	azeliragon	azeliragon	experimental		2787.5701574264203		AGER	non	novel, unsup	2
parkinson	NCT02082249	2014	abt-slv187	carbidopa,levodopa	combination		129.78234086242298		DRD1	approved	combination	4
alzheimer	NCT02085265	2014	perindopril	perindopril	approved			OTG	ACE	approved	repurposing	3
alzheimer	NCT02087865	2014	donepezil hcl	donepezil	approved	1996			ACHE	approved	post-approval	7
parkinson	NCT02091739	2014	incobotulinumtoxina (100 units)	botulinum toxin a	approved		476.0574948665298		SNAP25	approved	repurposing	3
parkinson	NCT02092181	2014	mirabegron	mirabegron	approved		130.02053388090349		ADRB3	approved	repurposing	3
alzheimer	NCT02094729	2013	ban2401 10 mg/kg	lecanemab	experimental		43.20876112251882	OMIM	APP	non	novel, supported	1
parkinson	NCT02096601	2014	oral levodopa and carbidopa	carbidopa,levodopa	approved		22.691307323750856		DRD1	approved	repurposing	3
alzheimer	NCT02097056	2014	donepezil hcl	donepezil	approved	1996	212.55030800821356		ACHE	approved	post-approval	7
huntington	NCT02101957	2010	rp103	calcium carbonate	approved					non	repurposing	3
parkinson	NCT02103465	2013	rotigotine	rotigotine	approved	2007	119.80835044490075		DRD3	approved	post-approval	7
alzheimer	NCT02103673	2014	daoib	daoi	experimental		337.3305954825462			non	novel, unsup	2
parkinson	NCT02108704	2013	helicobacter pylori eradication therapy	amoxycillin,clarithromycin,omeprazole	combination		181.1088295687885		ATP4A	approved	combination	4
parkinson	NCT02111122	2014	sodium oxybate	sodium oxybate	approved					non	repurposing	3
parkinson	NCT02112812	2012	eradication of helcobacter pylori	esomeprazole,clarithromycin,amoxicillin	combination		27.16495550992471		ATP4A	approved	combination	4
ftd/als	NCT02118727	2018	memantine	memantine	approved				GRIN1	approved	repurposing	3
alzheimer	NCT02127476	2014	khk6640	khk6640	experimental		161.5195071868583	OMIM	APP	non	novel, supported	1
alzheimer	NCT02129348	2014	lithium	lithium	approved					non	repurposing	3
parkinson	NCT02136914	2014	ads-5102	amantadine	approved	2003	199.73716632443532		GRIN3A	approved	post-approval	7
alzheimer	NCT02142777	2014	s -equol	equol	experimental		26.28336755646817			non	novel, unsup	2
ftd/als	NCT02149160	2014	frm-0334	frm-0334	experimental					non	novel, unsup	2
parkinson	NCT02153632	2014	amantadine hcl er	amantadine	approved	2003	243.94250513347023		GRIN3A	approved	post-approval	7
parkinson	NCT02153645	2014	240mg amantadine hcl er tablets	amantadine	approved	2003	152.6817248459959		GRIN3A	approved	post-approval	7
parkinson	NCT02157714	2014	prx002	prasinezumab	experimental			OMIM	SNCA	non	novel, supported	1
parkinson	NCT02162979	2002	sildenafil	sildenafil	approved		13.831622176591376		PDE5A	approved	repurposing	3
ftd/als	NCT02164253	2013	deferiprone	deferiprone	approved		74.7460643394935			non	repurposing	3
ftd/als	NCT02166944	2014	tamoxifen 40 mg daily for one year	tamoxifen	approved		109.29500342231348		ESR1	approved	repurposing	3
alzheimer	NCT02167256	2014	azd0530 100mg daily	saracatinib	experimental		515.4168377823408		FYN	non	novel, unsup	2
parkinson	NCT02168842	2014	isradipine	isradipine	approved		1344		CACNA1C	approved	repurposing	3
alzheimer	NCT02168920	2014	2 mg/day aripiprazole	aripiprazole	approved		265.2977412731006		DRD2	approved	repurposing	3
