nct	intervention_name	intervention_type
NCT02874820	idazoxan	drug
NCT00908492	education control	behavioral
NCT00908492	environmental skill building	behavioral
NCT01019421	lu ae58054	drug
NCT01019421	placebo	drug
NCT00353665	memantine (ebixa)	drug
NCT00353665	riluzole	drug
NCT00353665	placebo	drug
NCT02365051	care of persons with dementia in their environments	behavioral
NCT00726726	interacting drugs - cooperstown cocktail (midazolam, warfarin, (+ vitamin k), caffeine, omeprazole and dextromethorphan)	drug
NCT00726726	bms-708163	drug
NCT00726726	bms-708163 + cooperstown cocktail	drug
NCT02786680	stroop test in condition dbs off	behavioral
NCT02786680	stroop test in condition dbs on	behavioral
NCT01683253	levodopa/carbidopa(200mg/50mg)	drug
NCT01683253	dopaminergic agonists	drug
NCT03131817	activa pc+s prefrontal	device
NCT00676143	bapineuzumab	drug
NCT00676143	placebo	drug
NCT01945853	7 tesla mri	device
NCT00765115	ly450139	drug
NCT00765115	placebo	drug
NCT00750282	florbetaben (bay94-9172)	drug
NCT02611167	allogeneic bone marrow-derived mscs	biological
NCT03958630	11c-er176	drug
NCT03958630	11c-pib	drug
NCT01676935	abt-126	drug
NCT04045925	taïso	other
NCT00174382	donepezil	drug
NCT03568903	comprehensive physical therapy	other
NCT02453386	tozadenant	drug
NCT02453386	placebo	drug
NCT02428816	mri acquisition	other
NCT02428816	behavioral evaluations	behavioral
NCT01696812	electrode position	procedure
NCT02164253	deferiprone	drug
NCT03053726	variable frequency stimulation	procedure
NCT00735800	family intervention:telephone tracking support- caregiver	behavioral
NCT00735800	telephone support	behavioral
NCT02606682	npt200-11	drug
NCT02606682	placebo	drug
NCT00571285	vitamin d3	dietary supplement
NCT00571285	vitamin d3 - high dose	dietary supplement
NCT00571285	placebo	dietary supplement
NCT02709148	activa pc+s	device
NCT04245709	clenbuterol	drug
NCT02450786	donepezil	drug
NCT00605683	safinamide (as add-on therapy)	drug
NCT00605683	safinamide (as add-on therapy)	drug
NCT00605683	safinamide (as add-on therapy)	drug
NCT03822364	009-1	drug
NCT03822364	active comparator	drug
NCT03822364	009-0	drug
NCT03822364	009-2	drug
NCT03822364	009-3	drug
NCT03822364	009-4	drug
NCT03822364	009-5	drug
NCT02800460	fmri-3t	procedure
NCT00884507	placebo	drug
NCT00884507	ro5313534	drug
NCT00884507	ro5313534	drug
NCT00884507	ro5313534	drug
NCT00919555	pioglitazone and tretinoin	drug
NCT00919555	tretinoin and pioglitazone hcl	drug
NCT00919555	placebo	drug
NCT02600130	longeveron mesenchymal stem cells	biological
NCT02600130	placebo	biological
NCT01717144	therapeutic education program	behavioral
NCT01786603	rasagiline	drug
NCT01786603	placebo	drug
NCT00029276	prefrontal transcranial magnetic brain stimulation	procedure
NCT03900273	no practice effects (npe) cognitive battery, and miami computerized functional assessment scale (cfas)	other
NCT03900273	preclinical alzheimer's cognitive composite (pacc), alzheimer's disease assessment scale-cognitive scale (adas-cog), and functional assessment questionnaire (faq)	other
NCT00988598	pf-04447943	drug
NCT00988598	placebo	drug
NCT03221413	transcranial alternating current stimulation (tacs)	device
NCT00434304	ropinirole prolonged release/extended release(pr/xr)	drug
NCT03253965	metronome normal	other
NCT03253965	metronome slow	other
NCT03253965	metronome fast	other
NCT03253965	music normal	other
NCT03253965	music slow	other
NCT03253965	music fast	other
NCT03253965	no auditory cueing	other
NCT03477695	ambulatory use of the upright device	device
NCT02727699	xanamem™	drug
NCT02727699	placebo (for xanamem™)	drug
NCT01129115	nonexercise control group	behavioral
NCT01129115	aerobic exercise group 1	behavioral
NCT01129115	aerobic exercise group 2	behavioral
NCT01129115	aerobic exercise group 3	behavioral
NCT02005991	pf-05212377	drug
NCT02005991	pf-05212377	drug
NCT02005991	pf-05212377	drug
NCT01700556	case manager	other
NCT01700556	assistive technologies	other
NCT01700556	light support	other
NCT01700556	3 preventive home visits by a nurse	other
NCT01624389	f18-av45	drug
NCT04056689	dnl151	drug
NCT04056689	placebo	drug
NCT04129060	cholinergic antagonist	drug
NCT03607721	body motion evaluation dari	device
NCT03700684	lee silverman voice treatment	behavioral
NCT03700684	speechvive	device
NCT03700684	control	behavioral
NCT02172612	arm 1 education session	other
NCT00151333	sra-333	drug
NCT02337725	tvp-1012	drug
NCT02337725	placebo	drug
NCT02347202	online counseling via zoom teleconferencing	other
NCT02347202	telephone support as needed	other
NCT00556933	rabbit anti-thymocyte globulin	drug
NCT00556933	mycophenolate mofetil	drug
NCT00556933	rabbit anti-thymocyte globulin	drug
NCT00556933	sirolimus	drug
NCT00556933	tacrolimus	drug
NCT03347084	excitation	device
NCT03347084	inhibition	device
NCT00082602	galantamine er	drug
NCT00580931	nicotinamide	drug
NCT00580931	enduramide placebo	drug
NCT02600858	upper limb feeding training	behavioral
NCT01995903	mri(magnetic resonance imaging)	diagnostic test
NCT00464464	cognitive-behavioral therapy	behavioral
NCT02442778	avp-786	drug
NCT02442778	placebo	drug
NCT04042922	genus device (active settings)	device
NCT04042922	genus device (sham settings)	device
NCT00174239	cabergoline	drug
NCT00174239	controlled-release levodopa / carbidopa	drug
NCT02535884	activa® pc neurostimulator (model 37601)	device
NCT03568760	semantic feature analysis	behavioral
NCT03568760	comprehension training	behavioral
NCT02018406	combination injection of epo and g-csf	drug
NCT02018406	injection of normal saline	drug
NCT01094340	thalidomide	drug
NCT02467413	bac	drug
NCT02467413	bac matched vehicle	other
NCT01927055	droxidopa	drug
NCT01927055	placebo	drug
NCT03652870	nortriptyline	drug
NCT03652870	escitalopram	drug
NCT03652870	placebo	drug
NCT00036114	aripiprazole	drug
NCT02000713	mri	other
NCT02000713	clinical exam	other
NCT03690193	ketogenic diet	behavioral
NCT01547689	human umbilical cord derived msc	biological
NCT02676804	high-intensity, aerobic exercise.	other
NCT02469675	transcranial magnetic stimulation	device
NCT02469675	median nerve stimulation	device
NCT02469675	cervical transcutaneous stimulation	device
NCT02896816	surface emg, mri and pet scan	other
NCT02896816	surface emg	other
NCT03857867	tactile stimulation glove	device
NCT03857867	sham stimulation glove	device
NCT01639586	respite platform	behavioral
NCT01639586	day care	behavioral
NCT01639586	no access to a respite structure	behavioral
NCT02302144	balance & strengthening exercises	behavioral
NCT00702780	escitalopram	drug
NCT00702780	placebo	drug
NCT03201991	resistance exercise program	other
NCT03057938	18f-florbetaben (fbb)	drug
NCT02097056	donepezil hcl	drug
NCT00046358	lovostatin	drug
NCT00046358	ibuprofen	drug
NCT02205710	computerized cognitive training	other
NCT02205710	computerized games	other
NCT02059733	18f-dtbz	drug
NCT03482050	astrorx	biological
NCT00812565	placebo	drug
NCT00812565	octagam 10%	biological
NCT03562403	deep brain stimulation	device
NCT01482013	hpp854	drug
NCT01482013	placebo	drug
NCT00750971	immunoablation and autologous hematopoietic stem cell transplantation	procedure
NCT03111485	sinemet cr	drug
NCT03111485	placebo oral capsule	drug
NCT03836716	arimoclomol	drug
NCT04144283	nap	behavioral
NCT04144283	wake	behavioral
NCT02935842	specific sl-therapy	other
NCT02935842	rhythmic balance-movement training (rbmt)	other
NCT00855621	deep brain stimulation of the subthalamic nucleus	procedure
NCT01070628	stalevo (levodopa/ carbidopa/ entacapone)	drug
NCT01070628	sinemet (levodopa/carbidopa)	drug
NCT02164162	lokomat (hocoma, zurich, switzerland)	device
NCT02164162	conventional physical treatment	other
NCT00985517	cere-120: adeno-associated virus delivery of neurturin	biological
NCT00985517	sham surgery	procedure
NCT02794233	impedance measurements	other
NCT02476266	resistance training	other
NCT02235792	activa pc+s	device
NCT02464748	tim telehealth arm	other
NCT04165837	fb-101	drug
NCT04165837	placebo	drug
NCT01491932	afq056	drug
NCT02586623	droxidopa capsules	drug
NCT02586623	placebo capsules	drug
NCT02471833	telmisartan 20mg	drug
NCT02471833	telmisartan 40mg	drug
NCT02471833	placebo	drug
NCT01865097	relaxation guided imagery	behavioral
NCT01865097	relaxing music	behavioral
NCT02464293	mindfulness-based cognitive therapy	other
NCT00206687	spheramine (bay86-5280)	biological
NCT00206687	placebo	procedure
NCT03418688	cor388	drug
NCT03418688	placebo	drug
NCT01191944	pramipexole immediate release tablet	drug
NCT01191944	pramipexole extended release tablet	drug
NCT03253354	repetitive magnetic stimulation	device
NCT01723670	chf 5074 1x	drug
NCT01723670	chf 5074 2x	drug
NCT01723670	placebo	drug
NCT00069849	abt-089	drug
NCT00346151	belatacept	drug
NCT00346151	sirolimus	drug
NCT00346151	anti-thymocyte globulin	drug
NCT00346151	methylprednisolone	drug
NCT02794857	np001	drug
NCT02794857	placebo	drug
NCT03237741	reference capsule gdc-0134	drug
NCT03237741	prototype capsule gdc-0134	drug
NCT03237741	rabeprazole	drug
NCT03612622	transcranial magnetic stimulation	other
NCT03550131	innovations in dementia empowerment and action (idea)	behavioral
NCT03550131	reducing disabilities in alzheimer's disease (rdad)	behavioral
NCT00752232	acc-001	biological
NCT00752232	qs-21	other
NCT00752232	acc-001	biological
NCT00752232	qs-21	other
NCT00752232	pbs	other
NCT02035553	pimavanserin tartrate	drug
NCT02035553	placebo	drug
NCT02649985	[f-18]pbr06	drug
NCT02506205	lee silverman voice treatment (svlt) loud	behavioral
NCT02269436	snn0029 infusion solution	drug
NCT01391741	visual cues	other
NCT01391741	walking without visual cues	other
NCT00673140	far infrared radiation (5μm to 20μm wavelength)	radiation
NCT00673140	far infrared radiation	radiation
NCT03558568	deep brain stimulation	device
NCT01832350	nuedexta (20/10)	drug
NCT02404025	eltrombopag	drug
NCT02404025	rabbit atg	drug
NCT02404025	csa	drug
NCT03769896	nabilone 0.25 mg	drug
NCT03769896	placebo	drug
NCT03944460	contraloid	drug
NCT03132272	immunoadsorption with globaffin	device
NCT03146130	variation of behaviors of parkinson's disease	biological
NCT00673088	ropinirole hydrochloride	drug
NCT02204969	lithia water	dietary supplement
NCT02204969	transcranial magnetic stimulation	device
NCT02833831	als-008176	drug
NCT02833831	placebo	drug
NCT02833831	moxifloxacin	drug
NCT00665223	acr16	drug
NCT00665223	placebo	drug
NCT03217110	repetitive transcranial magnetic stimulation (rtms)	device
NCT03217110	sham repetitive transcranial magnetic stimulation (rtms)	device
NCT03060239	near infrared spectroscopy	other
NCT01978327	gsk2647544	drug
NCT01978327	drug-drug interaction	drug
NCT00632645	olanzapine	drug
NCT00632645	xenazine	drug
NCT00632645	tiapridal	drug
NCT00253227	galantamine hydrobromide	drug
NCT00982150	talampanel	drug
NCT00761436	spheramine (bay86-5280)	biological
NCT03797378	movement-2-music (m2m)	other
NCT00479297	sam-531	drug
NCT02273895	scopolamine	drug
NCT02505737	th-cbt	behavioral
NCT02505737	enhanced usual care	other
NCT03697434	palliative care referral	behavioral
NCT00332917	pardoprunox	drug
NCT02585583	thalamotomy	radiation
NCT00594165	rotigotine	drug
NCT02939547	hydroxypropyl-beta-cyclodextrin	drug
NCT04176263	sbt	behavioral
NCT04176263	tbt	behavioral
NCT01879748	rasagiline	drug
NCT01879748	placebo	drug
NCT01554202	assessment of memory	behavioral
NCT01554202	circulating tpa dosage	biological
NCT01554202	apoe4	genetic
NCT01554202	brain imaging examination mri and pet examinations	other
NCT03759639	ib1001	drug
NCT04137848	osteopathic manipulative treatment (omt)+ multidisciplinary intensive rehabilitation treatment (mirt)	procedure
NCT04137848	sham osteopathic manipulative treatment (somt)+ multidisciplinary intensive rehabilitation treatment (mirt)	procedure
NCT03542656	amyloid pet	drug
NCT04037501	care management	other
NCT00704782	dimebon	drug
NCT00001930	amantadine	drug
NCT00400634	cere-120 (adeno-associated virus serotype 2 [aav2]-neurturin [ntn])	drug
NCT00400634	sham surgery	procedure
NCT02206620	donepezil	drug
NCT03471143	2-hydroxypropyl-beta-cyclodextrin	drug
NCT02315781	active tdcs	device
NCT02315781	sham tdcs	device
NCT00399477	rasagiline mesylate	drug
NCT00399477	rasagiline mesylate plus mirapex	drug
NCT00399477	rasagiline mesylate with levodopa	drug
NCT00399477	rasagiline mesylate with requip	drug
NCT01795859	sd-809	drug
NCT01795859	placebo	drug
NCT03941119	vr-therapy	other
NCT02612129	arimoclomol	drug
NCT02612129	placebo	drug
NCT00866710	exercise-based behavioral therapy	other
NCT00139880	parcopa	drug
NCT00632762	mantadix	drug
NCT01215227	preladenant	drug
NCT01215227	rasagiline	drug
NCT01215227	placebo to preladenant	drug
NCT01215227	placebo to rasagiline	drug
NCT00306124	levodopa	drug
NCT03389698	grasp dce-mri	device
NCT03389698	3t brain scan	device
NCT03945279	biib100	drug
NCT03945279	placebo	drug
NCT01646333	memory and problem-solving intervention	behavioral
NCT01646333	supportive therapy	behavioral
NCT00519298	sam-531	drug
NCT00519298	placebo	other
NCT00519298	donepezil	drug
NCT01590407	als-002200	drug
NCT01590407	placebo	drug
NCT03172117	human umbilical cord blood derived mesenchymal stem cells	biological
NCT03172117	normal saline 2ml	other
NCT03088592	deep brain stimulation	device
NCT02768896	baseline	behavioral
NCT02768896	visual stimuli	behavioral
NCT02768896	auditory stimuli	behavioral
NCT02768896	visual and auditory stimuli	behavioral
NCT00320242	1 mo baseline before visual cue	device
NCT02486432	levodopa/carbidopa (sinemet)	drug
NCT04021888	exercise	other
NCT03080051	[18f]mni-952	drug
NCT03080051	[18f]florbetapir	drug
NCT02614131	ly2599666	drug
NCT02614131	solanezumab	drug
NCT02614131	placebo sc	drug
NCT02614131	placebo iv	drug
NCT03357159	cyclophosphamide	drug
NCT03357159	anti-human t-lymphocyte immunoglobulin (atlg)	drug
NCT02231073	exercise and education for parkinson's disease	behavioral
NCT01246700	sensory attention focused exercise (safex)	other
NCT01246700	sensory attention focused exercise (safex)	other
NCT02912169	liposuction under local anesthesia	procedure
NCT02912169	infusion of ad-svf via iv and intranasal	biological
NCT04152655	idebenone	drug
NCT04152655	placebo oral tablet	drug
NCT04048291	brisk walking and balance training	behavioral
NCT04048291	upper limb exercise	behavioral
NCT00810147	bms-708163	drug
NCT00810147	bms-708163	drug
NCT00810147	bms-708163	drug
NCT00810147	bms-708163	drug
NCT00810147	placebo	drug
NCT03103919	kinesia-one™	device
NCT03103919	kinesia-360™	device
NCT03103919	rotigotine	drug
NCT01485172	ropinirole monotherapy	drug
NCT01485172	placebo monotherapy	drug
NCT01796314	therapeutic educational program	behavioral
NCT00890890	avagacestat	drug
NCT00890890	placebo	drug
NCT02709356	1-month of 60-40 mct oil	dietary supplement
NCT02709356	1-month of c8 mct oil	dietary supplement
NCT03542474	high intensity endurance exercise	behavioral
NCT03638531	anodal tdcs	device
NCT03638531	sham tdcs	device
NCT00259480	home based intervention	behavioral
NCT02654574	iadl administration by phone	other
NCT00242008	rotigotine	drug
NCT01502995	laser light (u-step walking stabilizer with laser light)	device
NCT02343757	pet/mri	device
NCT01696019	fast walking	other
NCT01696019	tai chi	other
NCT01696019	intellectual stimulation	other
NCT01696019	contact and testing only	other
NCT01958437	transcranial direct current stimulation (tdcs)	device
NCT01232738	rasagiline	drug
NCT01354691	ladostigil hemitartrate	drug
NCT02475954	th-cbt	behavioral
NCT02475954	standard care	other
NCT02746484	ability platform program	other
NCT02746484	usual care program	other
NCT03272165	medi1341	drug
NCT03272165	placebo	drug
NCT00549601	rivastigmine patch (4.6 mg/day switch to 9.5 mg/day)	drug
NCT00549601	rivastigmine patch (9.5 mg/day)	drug
NCT00549601	rivastigmine capsules (6 mg to 12 mg/day)	drug
NCT03405662	vielight neuro gamma	device
NCT03405662	sham vielight neuro gamma	other
NCT01081743	intervention of the social worker	other
NCT00866060	memantine	drug
NCT00866060	donepezil	drug
NCT00866060	placebo donepezil	drug
NCT00866060	placebo memantine	drug
NCT01476228	eeg recording	device
NCT04090476	exercise	other
NCT02610868	myobloc	drug
NCT00466167	pramipexol extended release	drug
NCT00466167	pramipexol immediate release	drug
NCT00466167	placebo	drug
NCT02601144	deep brain stimulation	device
NCT00035815	insulin like growth factor, type 1	drug
NCT00035815	placebo	drug
NCT01607697	mindfulness training	behavioral
NCT00105612	memory and organizational aid	device
NCT00105612	standard informed consent process	behavioral
NCT04030923	repetitive transcranial magnetic stimulation	device
NCT03443752	shotokan-karate	other
NCT03443752	tai-chi	other
NCT02247180	cognitive rehabilitation	behavioral
NCT02247180	standardized cognitive training	behavioral
NCT01844648	nh004 tropicamide	drug
NCT01844648	nh004 placebo	drug
NCT00088387	divalproex	drug
NCT00088387	lithium	drug
NCT02220738	abt-957	drug
NCT02220738	placebo for abt-957	other
NCT00997425	door cover/floor cover	device
NCT02936635	tirasemtiv	drug
NCT03326622	standard care	other
NCT03326622	moderate exercise	other
NCT00203138	rasagiline mesylate	drug
NCT04116996	deep brain stimulation	device
NCT02423200	vx-745	drug
NCT00200525	apomorphine hcl injection	drug
NCT02753192	patients	other
NCT01563341	deep brain stimulation	device
NCT00982202	pioglitazone	drug
NCT00982202	placebo	drug
NCT02152345	belatacept	drug
NCT02152345	tacrolimus	drug
NCT02152345	mycophenolate	drug
NCT02152345	ratg	drug
NCT02152345	methylprednisolone	drug
NCT02152345	renal transplant	procedure
NCT02510833	exercises oriented, manual and monitoring by phone	behavioral
NCT02510833	exercises oriented, manual and without monitoring by phone	behavioral
NCT01459016	pet scan using florbetapir	other
NCT01459016	mri scan	other
NCT02537496	repetitive transcranial magnetic stimulation	procedure
NCT02537496	repetitive transcranial magnetic stimulation - sham	procedure
NCT01631825	spm 962	drug
NCT00896493	anti-thymocyte globulin	drug
NCT00896493	cyclosporine	drug
NCT00896493	lymphoid radiation	radiation
NCT00529724	energy metabolism by chronic bilateral subthalamic stimulation	behavioral
NCT00304629	galantamine	drug
NCT01137526	abt-384	drug
NCT01137526	donepezil	drug
NCT01137526	placebo	drug
NCT01626378	trx0237	drug
NCT01626378	placebo	drug
NCT01565356	florbetapir f 18	drug
NCT02665663	medical device	device
NCT02764125	stalevo	drug
NCT02764125	levodopa mr	drug
NCT03582137	cannabidiol	drug
NCT03582137	placebo	other
NCT03495193	exercise training	other
NCT03495193	sleep hygiene	behavioral
NCT03744312	11c-er176	drug
NCT03744312	florbetaben	drug
NCT02879136	methylphenidate	drug
NCT02879136	physical therapy	other
NCT02879136	atomoxetine	drug
NCT02812147	l-dops	drug
NCT02812147	placebo	drug
NCT02279511	adenosine triphosphate	drug
NCT02279511	placebo	drug
NCT02414607	elderberry juice	biological
NCT02414607	placebo	other
NCT00357357	hf0220	drug
NCT01143350	bras a (ehpad training and stimulation)	other
NCT01143350	ehpad control	other
NCT01937078	famotidine	drug
NCT02383654	autologous adipose-tissue derived stem cells	procedure
NCT03104049	neuromuscular taping	device
NCT02673476	als-008176	drug
NCT02673476	placebo	drug
NCT02982512	dexmedetomidine	drug
NCT03759132	transcranial direct current stimulation	procedure
NCT00602680	ssr180711c	drug
NCT00602680	donepezil	drug
NCT00602680	placebo	drug
NCT03035851	aerobic exercise	behavioral
NCT03035851	stretch and strength	behavioral
NCT04140136	tocotrienols	dietary supplement
NCT04140136	placebo	dietary supplement
NCT01556100	18f-dtbz av-133	drug
NCT00605046	spect scan	drug
NCT02917681	two intrathecal msc injections	other
NCT02207387	azilect	drug
NCT02207387	exercise	behavioral
NCT02207387	music	other
NCT00200538	memantine	drug
NCT04058886	telephone-delivered mindfulness	behavioral
NCT00838110	dimebon	drug
NCT00838110	placebo	drug
NCT00838110	dimebon	drug
NCT00838110	placebo	drug
NCT01454453	patients- dose titration	drug
NCT03991624	cognitive assessment	diagnostic test
NCT03991624	inhibition evaluation	other
NCT03991624	assessment of mental flexibility	other
NCT03991624	evaluation of the update	other
NCT03991624	working memory	other
NCT03991624	episodic memory	other
NCT02787590	simvastatin	drug
NCT02787590	matched placebo (for simvastatin)	drug
NCT04000360	high-intensity aerobic exercise	other
NCT00056225	folate	drug
NCT00056225	vitamin b6	drug
NCT00056225	vitamin b12	drug
NCT00428389	rivastigmine 5 cm^2 transdermal patch	drug
NCT00428389	rivastigmine 10 cm^2 transdermal patch	drug
NCT01306539	stimulation of the subthalamic nucleus	procedure
NCT01883648	coconut oil beverage	drug
NCT01883648	placebo beverage	other
NCT01273272	comprehensive, cbt-based, multi-component treatment	behavioral
NCT01273272	treatment as usual	behavioral
NCT01272817	nonmyeloablative allogeneic transplant	procedure
NCT01272817	nonmyeloablative allogeneic transplant	procedure
NCT02463617	magnetic resonance imaging	other
NCT00269516	pardoprunox	drug
NCT00269516	pardoprunox	drug
NCT00269516	pardoprunox	drug
NCT00269516	placebo	drug
NCT01128361	aerobic exercise	behavioral
NCT01128361	stretching	behavioral
NCT03144921	psychoeducational skills training intervention	behavioral
NCT02263885	exablate transcranial system	device
NCT02922530	computerized plasticity-based adaptive cognitive training	other
NCT02922530	commercially available computerized training	other
NCT03288363	tdcs	device
NCT04075435	high cbd/low thc sublingual solution	drug
NCT00242593	rosiglitazone	drug
NCT02764892	v81444	drug
NCT00335153	levodopa-carbidopa intestinal gel	drug
NCT00335153	cadd-legacy® 1400 ambulatory infusion pump	device
NCT00335153	peg tube	device
NCT00335153	j-tube	device
NCT01978353	memory training	behavioral
NCT01978353	psychoeducation	behavioral
NCT02370134	parkinson's glove	device
NCT02370134	sham glove	device
NCT03256539	sleep intervention	behavioral
NCT03256539	placebo intervention	behavioral
NCT00278538	hematopoietic stem cell transplantation	biological
NCT02036645	medi1814 for iv injection	biological
NCT02036645	medi1814 for subcutaneous injection	biological
NCT02036645	iv placebo	biological
NCT02036645	placebo for subcutaneous injection	biological
NCT01416818	xiaoyao pill	drug
NCT01416818	bupleurum+ginkgo	drug
NCT01416818	placebo	drug
NCT03840759	inpatient geriatric consultation team	other
NCT04044495	multimodal brain imaging (mri)	other
NCT04044495	actimetry	other
NCT04044495	sleep diary	other
NCT02554331	fp-cit single-photon emission computed tomography	radiation
NCT02554331	neuropsychological evaluation	behavioral
NCT02554331	gait recording with sensors	other
NCT00200512	apomorphine hcl injection	drug
NCT03765762	grf6019	drug
NCT03765762	placebo	other
NCT01471067	melphalan	drug
NCT01471067	fludarabine	drug
NCT01471067	mycophenolate mofetil	drug
NCT01471067	tacrolimus	drug
NCT01471067	cord blood infusion	procedure
NCT01471067	rituximab	drug
NCT01471067	atg	drug
NCT01471067	busulfan	drug
NCT01471067	clofarabine	drug
NCT01471067	total body irradiation (tbi)	radiation
NCT02292654	olipudase alfa	drug
NCT00076570	sirolimus	drug
NCT00076570	tacrolimus	drug
NCT03373604	18f-mk-6240	drug
NCT03373604	lumbar puncture (optional)	procedure
NCT03129425	renace psychoeducational intervention	behavioral
NCT03129425	general educational program	other
NCT03893786	robotic rehabilitation	device
NCT03149380	web-based education	behavioral
NCT01485276	dbs surgery	procedure
NCT04116216	high frequency repetitive transcranial magnetic stimulation	combination product
NCT04116216	low frequency repetitive transcranial magnetic stimulation	combination product
NCT04116216	sham repetitive transcranial magnetic stimulation	combination product
NCT00199407	istradefylline (kw-6002)	drug
NCT03987750	safinamide methanesulfonate 150mg	drug
NCT03987750	safinamide methanesulfonate 100mg	drug
NCT03987750	safinamide methanesulfonate matching placebo	drug
NCT02029547	florbetapir (18f)	drug
NCT03618186	tau pet scan	combination product
NCT03300180	collaborative dementia care program	behavioral
NCT03300180	screening only	other
NCT02306590	calogen	dietary supplement
NCT02306590	placebo	dietary supplement
NCT02885285	spinning class	behavioral
NCT02885285	yoga class	behavioral
NCT02885285	dance class	behavioral
NCT02885285	no exercise class	other
NCT02912936	ketogenic medium chain triglyceride drink (mct drink)	dietary supplement
NCT02912936	placebo	dietary supplement
NCT03292016	apl-130277	drug
NCT03292016	apo-go	drug
NCT03292016	apokyn	drug
NCT01618383	colonoscopy or rectosigmoidoscopy	other
NCT03321487	blood-brain barrier opening with mrgfus	device
NCT02180269	jnj-54861911 (25 mg)	drug
NCT02180269	jnj-54861911 (50 mg)	drug
NCT02180269	jnj-54861911 (100 mg)	drug
NCT02180269	placebo	drug
NCT02632279	tryptophan (trp) depletion	dietary supplement
NCT02632279	placebo	dietary supplement
NCT02632279	stimulator on	device
NCT02632279	stimulator off	device
NCT03904654	mindfulness-based cognitive therapy (mbct)	behavioral
NCT00620191	metformin	drug
NCT00620191	placebo	drug
NCT00380302	ave1625	drug
NCT00706147	arimoclomol	drug
NCT00706147	placebo	drug
NCT00501969	rotigotine	drug
NCT03880240	transcranial alternating current stimulation (tacs)	device
NCT03880240	sham transcranial alternating current stimulation	other
NCT02144220	virtual care visit	other
NCT04226248	rivastigmine transdermal system	drug
NCT04226248	placebo transdermal system	other
NCT00946530	bright light	device
NCT00946530	control	device
NCT01473875	sbc-102	drug
NCT03531060	irl790	drug
NCT03531060	placebo	drug
NCT01628653	u-smart	device
NCT04212897	music therapy	other
NCT00714571	mnemonic strategy training (mst)	behavioral
NCT00714571	repeated exposure (xp)	behavioral
NCT00714571	subtracting cues training	behavioral
NCT00732316	nonmyeloablative allogeneic hematopoietic stem cell transplantation	procedure
NCT00732316	peripheral blood stem cell transplantation	procedure
NCT01841125	escitalopram	drug
NCT01841125	placebo	drug
NCT03140956	levodopa, carbidopa, odm-104	drug
NCT00355927	sedation with iv propofol	procedure
NCT00978536	cognitive impairment of multiple sclerosis	other
NCT02600052	pnf	other
NCT02600052	treadmill	device
NCT01163331	singing therapy	other
NCT01709149	ck-2017357	drug
NCT01709149	placebo tablets	other
NCT01709149	riluzole	drug
NCT01221948	deep brain stimulation	device
NCT00324896	eszopiclone	drug
NCT00324896	placebo	other
NCT03283059	octohydroaminoacridine succinate	drug
NCT03283059	aricept	drug
NCT03283059	placebos	drug
NCT01007630	rasagiline	drug
NCT01007630	placebo	drug
NCT00608946	copper	dietary supplement
NCT00608946	placebo	dietary supplement
NCT00232570	quetiapine	drug
NCT02061878	bexarotene	drug
NCT02061878	placebo	drug
NCT03432195	donepezil tds	drug
NCT03980938	neflamapimod	drug
NCT03980938	placebo	other
NCT01876459	mri	other
NCT01876459	lumbar puncture	procedure
NCT01876459	neuropsychological tests	behavioral
NCT00004451	glucose	drug
NCT04185740	cloudupdrs - tapping task	device
NCT01722526	recombinant human acid sphingomyelinase	drug
NCT01537757	mk-8931	drug
NCT02541097	language therapy	behavioral
NCT02728843	deferiprone	drug
NCT02728843	placebo	drug
NCT02927691	emst	device
NCT02927691	smtap	behavioral
NCT01083667	pyrimethamine	drug
NCT02807740	virtual reality	other
NCT02807740	conventional rehabilitation program	other
NCT02933177	2 months control condition - 4 months chariot-flash	behavioral
NCT02933177	4 months control condition-2 months chariot flash	behavioral
NCT00839033	mechanical insufflation - exsufflation	device
NCT00839033	standard respiratory physiotherapy	device
NCT02813070	[18f] flutemetamol	drug
NCT00544453	[123i] mni-308	drug
NCT01131494	motor exercises for swallowing, breathing and phonation	other
NCT01227265	preladenant	drug
NCT01227265	placebo	drug
NCT00384423	prx-03140	drug
NCT04118764	neuronavigation-guided single-element focused ultrasound transducer	device
NCT04118764	definity	drug
NCT04118764	magnetic resonance imaging (mri) with or without gadolinium contrast agents	other
NCT04118764	positron emission tomography (pet)	other
NCT04118764	amyvid	other
NCT00646204	memantine	drug
NCT00646204	placebo	drug
NCT01656525	gantenerumab	drug
NCT01656525	gantenerumab	drug
NCT01656525	gantenerumab	drug
NCT01656525	placebo	drug
NCT01856244	treadmill walking	behavioral
NCT01856244	treadmill	device
NCT02370524	[18f]t807	drug
NCT01049984	rasagiline	drug
NCT01049984	placebo	drug
NCT02894658	lipiflow system	device
NCT02894658	warm compresses	procedure
NCT03921359	smartfit training	behavioral
NCT03921359	conventional physical training	behavioral
NCT01479530	placebo	drug
NCT01479530	azilect®	drug
NCT01976390	everolimus	drug
NCT01976390	sirolimus	drug
NCT01413100	anti-thymocyte globulin	biological
NCT01413100	autologous hematopoietic stem cell transplantation	procedure
NCT01413100	cyclophosphamide	drug
NCT01413100	filgrastim	biological
NCT01413100	laboratory biomarker analysis	other
NCT01413100	mycophenolate mofetil	drug
NCT01413100	peripheral blood stem cell transplantation	procedure
NCT01413100	plerixafor	drug
NCT01413100	quality-of-life assessment	other
