intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	regulatory_status	comment	priority
magnetom avanto (mri device)	device	1	NCT01429909						FALSE
magnitude treadmill group	behavioral	1	NCT01987557						FALSE
magstim rapid 2 repetitive transcranial magnetic stimulation	device	1	NCT02387346						FALSE
magstim rapid 2 sham stimulation	device	1	NCT02387346						FALSE
magstim rapid magnetic stimulator	device	1	NCT00063284						FALSE
magstim rapid2	device	1	NCT02875041						FALSE
magstim rapid2 transcranial magnetic simulation	device	1	NCT04193267						FALSE
magstim rtms	device	1	NCT03448133						FALSE
magtein	dietary supplement	1	NCT02210286						FALSE
mail and live phone	behavioral	1	NCT00546767	behavioral					TRUE
maintaining of occupational therapy	behavioral	1	NCT03435705						FALSE
malnutrition screening and perioperative nutritional support	procedure	1	NCT02800395						FALSE
maltodextrin	dietary supplement	1	NCT03667404						FALSE
mantadix	drug	1	NCT00632762						FALSE
map-i	behavioral	1	NCT03538574						FALSE
masitinib	drug	1	NCT01872598						FALSE
masitinib (3.0)	drug	1	NCT02588677						FALSE
masitinib (4.5)	drug	1	NCT02588677						FALSE
masitinib (ab1010)	drug	1	NCT00976118						FALSE
masotherapy with neural tension and masotherapy with non-neural tension	procedure	1	NCT04303338						FALSE
massage with a spiky ball	device	1	NCT02230930						FALSE
matched placebo	drug	1	NCT02886494						FALSE
matched placebo (for simvastatin)	drug	1	NCT02787590						FALSE
matched placebo to myobloc	biological	1	NCT00515437						FALSE
matching placebo	drug	5	NCT01806857	placebo					FALSE
matching placebo (gantenerumab)	drug	1	NCT01760005	placebo					FALSE
matching placebo (solanezumab)	drug	1	NCT01760005	placebo					FALSE
mbb afo	device	1	NCT02819011						FALSE
mci-186	drug	4	NCT00415519						FALSE
mci-186 in open label phase	drug	1	NCT01492686						FALSE
mcrob hybrid node 3-axes accelerometers and 3-axes gyroscopes	device	1	NCT00716261						FALSE
mctprocal medical food	other	1	NCT03635879						FALSE
md1003	drug	1	NCT03114215						FALSE
me & my wishes	behavioral	1	NCT03861429						FALSE
measure of the electrophysiological activity of the subthalamic nucleus	other	1	NCT01537224						FALSE
measurement of serum level of anti-dementia drug	diagnostic test	1	NCT04117178						FALSE
mechanical insufflation - exsufflation	device	1	NCT00839033						FALSE
mechanical peripheral stimulation (gondola)	device	1	NCT02594540						FALSE
mechanical stimulus (vibration) applied on the forearm	device	1	NCT02610257						FALSE
medi1341	drug	1	NCT03272165						FALSE
medi1814 for iv injection	biological	1	NCT02036645						FALSE
medi1814 for subcutaneous injection	biological	1	NCT02036645						FALSE
median nerve stimulation	device	1	NCT02469675						FALSE
medical adherence	behavioral	1	NCT03987464						FALSE
medical device	device	1	NCT02665663						FALSE
medical food	dietary supplement	1	NCT03249688						FALSE
medical visit for specific questionnaires	other	1	NCT03371277						FALSE
medication	behavioral	1	NCT03473834						FALSE
medication therapy management (mtm)	other	1	NCT02849639	other					TRUE
meditation	behavioral	1	NCT00558402						FALSE
mediterranean diet	behavioral	1	NCT03841539	behavioral					TRUE
mediterranean diet	other	2	NCT03851861	behavioral					TRUE
medium intensity aerobic program	behavioral	1	NCT04046276						FALSE
medroxyprogesterone	drug	1	NCT00066157						FALSE
medtronic activa pc+s sensing deep brain stimulator generator	device	1	NCT02438033						FALSE
medtronic rc+s dbs system	device	1	NCT04011449						FALSE
medx console system	device	1	NCT03551392						FALSE
meeting with pharmacist	behavioral	1	NCT04228770						FALSE
meg	procedure	3	NCT01882010						FALSE
meganatural-az grapeseed extract	drug	1	NCT02033941						FALSE
melatonin	dietary supplement	1	NCT03954899						FALSE
melatonin	drug	2	NCT02359448						FALSE
melatonin pr	drug	1	NCT02789592						FALSE
melatonin pr placebo	drug	1	NCT02789592						FALSE
melatonin(circadin®)	drug	2	NCT03258294						FALSE
melperone hcl	drug	3	NCT00125138						FALSE
melphalan	drug	11	NCT00589563						FALSE
mem 1003	drug	2	NCT00257673						FALSE
mem 3454	drug	1	NCT00454870						FALSE
memantine	drug	40	NCT02288000						FALSE
memantine (drug)	drug	1	NCT00375778						FALSE
memantine (ebixa)	drug	1	NCT00353665						FALSE
memantine (namenda®)	drug	1	NCT00768261						FALSE
memantine (once daily)	drug	1	NCT02553928						FALSE
memantine (twice daily)	drug	1	NCT02553928						FALSE
memantine er	drug	1	NCT00322153						FALSE
memantine hcl	drug	2	NCT00334906						FALSE
memantine hydrochloride	drug	2	NCT03168997						FALSE
memantine hydrochloride oral solution	drug	1	NCT04302870						FALSE
memantine-hcl	drug	1	NCT00624026						FALSE
memorem	device	1	NCT04271163						FALSE
memorem 1000	device	2	NCT03927040						FALSE
memory	behavioral	1	NCT02696603						FALSE
memory and organizational aid	device	1	NCT00105612						FALSE
memory and problem-solving intervention	behavioral	1	NCT01646333						FALSE
memory assessment	behavioral	3	NCT01638884						FALSE
memory group	behavioral	1	NCT01998711						FALSE
memory strategy training	behavioral	2	NCT03836963						FALSE
memory training	behavioral	2	NCT03503669						FALSE
memory training with computerized memory program	behavioral	1	NCT01156714						FALSE
mental and physical practice	other	2	NCT03439800						FALSE
mental practice and brushing guidance in patients with parkinson disease	other	1	NCT02738528						FALSE
mental practice and physical therapy	other	1	NCT02729454						FALSE
merging yoga and occupational therapy for parkinson disease	behavioral	1	NCT03578653						FALSE
mesdopetam (irl790)	drug	1	NCT03368170						FALSE
mesencephalic neuronal precursor cells	drug	1	NCT01860794						FALSE
mesenchymal stem cell	biological	1	NCT02116634						FALSE
mesenchymal stem cells	biological	2	NCT03550183						FALSE
mesna	drug	1	NCT00857389						FALSE
metabolic cofactor supplementation	drug	1	NCT04044131						FALSE
metformin	drug	3	NCT04220021						FALSE
methotrexate	drug	18	NCT01390402						FALSE
methotrexate (mtx)	drug	1	NCT03689465						FALSE
methylcobalamin	drug	1	NCT03548311						FALSE
methylene blue	drug	1	NCT02380573						FALSE
methylphenidate	drug	11	NCT00359723	molecular	SLC6A3				FALSE
methylphenidate (mpd)	drug	1	NCT00526630						FALSE
methylphenidate extended release oral capsule	drug	1	NCT03811847						FALSE
methylprednisolone	drug	10	NCT00482053						FALSE
methylprednisolone sodium succinate	drug	1	NCT00568633						FALSE
metrology of motor behavior	other	1	NCT03848897						FALSE
metronome	device	1	NCT03716674						FALSE
metronome fast	other	1	NCT03253965						FALSE
metronome normal	other	1	NCT03253965						FALSE
metronome slow	other	1	NCT03253965						FALSE
mexiletine	drug	3	NCT01849770	molecular	SCN5A				FALSE
mhealth delivered exercise program	other	1	NCT03517371						FALSE
mhrc	device	1	NCT03420807						FALSE
mhsct	biological	1	NCT00114530						FALSE
mi	behavioral	1	NCT04181918						FALSE
mibg label with i123 or i124	other	1	NCT01931488						FALSE
micrnas battery	diagnostic test	1	NCT04137926						FALSE
micro mouth pressure meter	device	2	NCT02710162						FALSE
microcannula harvest adipose	procedure	1	NCT03297177						FALSE
mid dose anavex2-73	drug	2	NCT03774459						FALSE
midazolam	drug	3	NCT02211079	molecular	GABRA1		approved		FALSE
midodrine	drug	2	NCT02897063						FALSE
mifepristone	drug	1	NCT00105105						FALSE
miglustat	drug	3	NCT03910621						FALSE
mild body exercise	behavioral	1	NCT03463330						FALSE
mild weight loss	behavioral	1	NCT02817074	behavioral					TRUE
milk/tricaprilin oil blend	other	1	NCT03635879						FALSE
mind	dietary supplement	1	NCT03585907						FALSE
mind diet	behavioral	1	NCT02817074	behavioral					TRUE
mindfulness	behavioral	2	NCT02705586						FALSE
mindfulness based health care (mbhc) program	behavioral	1	NCT03858283						FALSE
mindfulness based stress reduction	behavioral	1	NCT03998462						FALSE
mindfulness based stress reduction (mbsr)	behavioral	1	NCT01605448						FALSE
mindfulness training	behavioral	1	NCT01607697						FALSE
mindfulness-based cognitive therapy	other	1	NCT02464293						FALSE
mindfulness-based cognitive therapy (mbct)	behavioral	1	NCT03904654						FALSE
mindfulness-based intervention (mbi)	behavioral	1	NCT02683330						FALSE
mindoula	behavioral	1	NCT02903862						FALSE
mindpod dolphin	device	1	NCT04073225						FALSE
mini-invasive electrophysiological study	other	1	NCT00251121						FALSE
minimally-enhanced usual care	behavioral	1	NCT04338750						FALSE
minocycline	drug	6	NCT00047723						FALSE
mip and mep	device	1	NCT03797976						FALSE
mirabegron	drug	3	NCT02092181						FALSE
mirapex	drug	2	NCT00144300						FALSE
mirapex (pramipexole)	drug	1	NCT00096720						FALSE
mirapex er	drug	1	NCT01515774						FALSE
mirt	behavioral	2	NCT02719470						FALSE
mirt	other	3	NCT02701621						FALSE
mirt	procedure	1	NCT02727257						FALSE
mirt + treadmill	other	1	NCT03021408						FALSE
mirt + treadmill plus	other	1	NCT03021408						FALSE
mirt + virtual reality	other	1	NCT03021408						FALSE
mirt-at	other	2	NCT02701621						FALSE
mirtazapine	drug	2	NCT01867775						FALSE
mito-food plan	dietary supplement	1	NCT03630419						FALSE
mitoq	dietary supplement	1	NCT03514875						FALSE
mitoq	drug	1	NCT00329056						FALSE
mixed functional foods supplementation	dietary supplement	1	NCT04279418						FALSE
mk 6240	drug	1	NCT04104659						FALSE
mk-0249 25 mg	drug	1	NCT00874939						FALSE
mk-0249 7.5 mg	drug	1	NCT00874939						FALSE
mk-4334	drug	1	NCT03740178						FALSE
mk-7622	drug	1	NCT01852110						FALSE
mk-8931	drug	3	NCT01537757						FALSE
mk0249	drug	1	NCT00420420						FALSE
mk0657	drug	1	NCT00505843						FALSE
mk0677	drug	1	NCT00074529						FALSE
mk0952	drug	1	NCT00362024						FALSE
mlc601	drug	1	NCT01696123						FALSE
mlc901	drug	1	NCT03038035						FALSE
mmf	drug	3	NCT00001964						FALSE
mmfs-205-sr	dietary supplement	1	NCT03531684						FALSE
mmse (mini mental state examination)	other	1	NCT04019665						FALSE
mn 4000	device	1	NCT03797677						FALSE
mn-166	drug	2	NCT04057898						FALSE
mnc (mononuclear cells)	biological	1	NCT02286011						FALSE
mnemonic strategy training (mst)	behavioral	1	NCT00714571						FALSE
mni-330 as a brain spect tracer of beta-amyloid	drug	1	NCT00657813						FALSE
mni-513-01	drug	1	NCT01000870						FALSE
mobilaser	device	1	NCT01581645						FALSE
mobile gait trainer	device	1	NCT03416452						FALSE
mobile health technology	behavioral	1	NCT01955889						FALSE
mobile platform exercise	other	1	NCT03314597						FALSE
modafinil	drug	5	NCT01172145	molecular	SLC6A3				FALSE
modafinil 50mg	drug	1	NCT03083132						FALSE
modeling	behavioral	1	NCT01095718						FALSE
moderate dose nicotine (14mg)	drug	1	NCT01778946						FALSE
moderate exercise	behavioral	1	NCT01506479						FALSE
moderate exercise	other	1	NCT03326622						FALSE
moderate intensity aerobic exercise	behavioral	1	NCT04009629	behavioral					TRUE
moderate-aerobic walking	behavioral	1	NCT02726906						FALSE
moderate-demand photography	behavioral	1	NCT03962439	behavioral					TRUE
modified atkins diet	other	1	NCT02521818						FALSE
modified exercise programme	other	1	NCT03473834						FALSE
modified fitness counts	behavioral	1	NCT00591344						FALSE
modified paleolithic diet	other	1	NCT03659422						FALSE
montelukast	drug	1	NCT03991988						FALSE
montelukast buccal film	drug	1	NCT03402503						FALSE
montessori reading roundtable	other	1	NCT04255329						FALSE
monthly autologous treg cells infusions + 3 times per week interleukin-2 injections	biological	2	NCT04055623						FALSE
monthly check-in session	behavioral	1	NCT02439853						FALSE
monthly placebo infusions + 3 times per week placebo injections	other	1	NCT04055623						FALSE
montreal cognitive assessment (moca) and mmse	behavioral	1	NCT01903421						FALSE
morning simulated sunlight	device	1	NCT02502045						FALSE
motion analysis	procedure	3	NCT01882010						FALSE
motivational interviewing	behavioral	1	NCT03329833						FALSE
motor assessments before taking regular pd treatment	other	1	NCT03407378						FALSE
motor assessments on regular pd treatment	other	1	NCT03407378						FALSE
motor cortex stimulation	device	1	NCT00159172						FALSE
motor cortex stimulation off	device	1	NCT00637260						FALSE
motor cortex stimulation on.	device	1	NCT00637260						FALSE
motor evaluation	other	1	NCT02218567						FALSE
motor exercises for swallowing, breathing and phonation	other	1	NCT01131494						FALSE
motor fluctuations diary	diagnostic test	1	NCT04176302						FALSE
motor imagery based eeg-bci	other	1	NCT03827187						FALSE
motor learning	behavioral	2	NCT03245216						FALSE
motor physiology testing	procedure	1	NCT02012647						FALSE
movement-2-music (m2m)	other	1	NCT03797378						FALSE
movement-oriented dementia care	behavioral	1	NCT03001232						FALSE
moving through glass intervention	device	1	NCT03214926						FALSE
moxifloxacin	drug	9	NCT00979316						FALSE
moxifloxacin infusion	drug	1	NCT00292227						FALSE
mp+ddci	other	1	NCT02680977						FALSE
mp-101	drug	1	NCT03044249						FALSE
mp-equivalent	other	1	NCT02680977						FALSE
mp-low	other	1	NCT02680977						FALSE
mpc-7869	drug	5	NCT00105547						FALSE
mr brain	diagnostic test	1	NCT04099823						FALSE
mr guided focused ultrasound	device	1	NCT03608553						FALSE
mri	device	2	NCT03641768						FALSE
mri	other	11	NCT04212637						FALSE
mri	procedure	1	NCT02759887						FALSE
mri	radiation	3	NCT00987090						FALSE
mri + 18fdg-pet + neuropsychological assessments ; 18fdg performed especially for the research	other	1	NCT01530438						FALSE
mri 3t	radiation	1	NCT02576821						FALSE
mri 7t	radiation	1	NCT02576821						FALSE
mri acquisition	other	1	NCT02428816						FALSE
mri and pet scan	procedure	1	NCT03129269						FALSE
mri based perfusion imaging	diagnostic test	1	NCT03912571						FALSE
mri exam of the brain	other	1	NCT02445469						FALSE
mri imaging	other	1	NCT02236832						FALSE
mri of the spine	diagnostic test	1	NCT03753945						FALSE
mri scan	other	1	NCT01459016						FALSE
mri screening form	other	1	NCT04099823						FALSE
mri techniques	procedure	1	NCT01019343						FALSE
mri(magnetic resonance imaging)	diagnostic test	1	NCT01995903						FALSE
mri-examinations	other	1	NCT03939286						FALSE
mrighifu unilateral subthalamotomy	other	1	NCT02912871						FALSE
ms band 2	device	1	NCT03425877						FALSE
msc-ntf cells transplantation (im)	biological	1	NCT01051882						FALSE
msc-ntf cells transplantation (it)	biological	1	NCT01051882						FALSE
msc_ntf cells transplantation by multiple intramuscular injections at 24 separate sites, in addition to a single intrathechal injection into the csf	biological	1	NCT01777646						FALSE
msdc-0160	drug	1	NCT01374438						FALSE
mt-1186	drug	3	NCT04176224						FALSE
mt-4666	drug	2	NCT01764243						FALSE
mtx	drug	1	NCT04203108						FALSE
multi-sensory supportive care	other	1	NCT01819714						FALSE
multicomponent intervention	other	1	NCT04280861						FALSE
multicomponent psychosocial intervention	behavioral	1	NCT00177489						FALSE
multicontext for pd strategy training	behavioral	1	NCT04048122						FALSE
multicultural healthy diet	other	1	NCT03240406	behavioral					TRUE
multidimensional fragility index questionnaire rai-home care	other	1	NCT03360552						FALSE
multidimensional stimulation group therapy	other	1	NCT01893398						FALSE
multidisciplinary approach	other	1	NCT03442322						FALSE
multidisciplinary care	other	1	NCT00518791						FALSE
multidisciplinary intensive rehabilitation treatment (mirt)	procedure	1	NCT02756676						FALSE
multidisciplinary team meetings (mdtm)	other	1	NCT01569997						FALSE
multidomain lifestyle	behavioral	1	NCT03249688						FALSE
multifactorial fall prevention program	other	1	NCT00518648						FALSE
multimodal brain imaging (mri)	other	1	NCT04044495						FALSE
multimodal overground locomotor training	other	1	NCT03864393						FALSE
multiple dose	drug	2	NCT01424163						FALSE
multivitamin	drug	1	NCT00056329						TRUE
muscimol	drug	1	NCT00921128	molecular	GABRA1	drugbank says questionable			FALSE
muscle biopsy	procedure	2	NCT03573466						FALSE
muscle relaxation using full body massage machine	device	1	NCT03507192						FALSE
muscle strength training	other	1	NCT01971528						FALSE
muscle training	other	1	NCT01504009						FALSE
music	other	2	NCT03121950						FALSE
music and memory	behavioral	1	NCT03821844						FALSE
music and physical activity	other	1	NCT03447444						FALSE
music and treadmill walking program	other	1	NCT00750945						FALSE
music balance board	other	1	NCT04146688						FALSE
music experience questionnaire	other	1	NCT03342326						FALSE
music fast	other	1	NCT03253965						FALSE
music intervention	other	2	NCT02376686						FALSE
music lessons	behavioral	1	NCT03444181						FALSE
music normal	other	1	NCT03253965						FALSE
music slow	other	1	NCT03253965						FALSE
music supported therapy	other	1	NCT03049033						FALSE
music therapy	behavioral	3	NCT03643003						FALSE
music therapy	other	1	NCT04212897						FALSE
music therapy	procedure	2	NCT03604822						FALSE
music training	behavioral	1	NCT02432222						FALSE
musical intervention	behavioral	1	NCT02833870						FALSE
musical treadmill	behavioral	1	NCT03546244						FALSE
my plate	behavioral	1	NCT03284112						FALSE
my tools 4 care	behavioral	1	NCT02428387						FALSE
mycophenolate	drug	2	NCT02152345						FALSE
mycophenolate mofetil	drug	19	NCT00882895						FALSE
mycophenolate mofetil (mmf)	drug	6	NCT00482053						FALSE
mycophenolate mofetil 250mg	drug	1	NCT00899847						FALSE
mycophenolic acid	drug	2	NCT01336296						FALSE
mycophenolic acid oral product	drug	1	NCT03828682						FALSE
mylotarg	drug	1	NCT00038831						FALSE
myobloc	drug	2	NCT01994109						FALSE
mytap oral appliance plus mouth shield	device	1	NCT03929302						FALSE
mézières method	other	1	NCT02891473						FALSE
n-0923	drug	1	NCT00001931						FALSE
n-831(traneurocin) 10 mg qd	drug	1	NCT03538522						FALSE
n-acetyl cysteine	drug	1	NCT00975689						FALSE
n-acetylcysteine	drug	3	NCT01470027						FALSE
n-acetylcysteine capsule	drug	1	NCT02212678						FALSE
n-hydroxy-n'-phenyl-octanediamide (vorinostat)	drug	1	NCT03056495						FALSE
na-831 (traneurocin) 20 mg qd	drug	1	NCT03538522						FALSE
na-831 (traneurocin) 40 mg qd	drug	1	NCT03538522						FALSE
nabilone	drug	1	NCT02351882						FALSE
nabilone 0.25 mg	drug	2	NCT03769896						FALSE
nalmefene	drug	1	NCT02934919						FALSE
naltrexone	drug	1	NCT01052831						FALSE
nandrolone	drug	1	NCT00000597						FALSE
nap	behavioral	1	NCT04144283						FALSE
naproxen	drug	1	NCT02702817	molecular	PTGS1		approved		TRUE
naproxen sodium (aleve)	drug	1	NCT00007189	molecular	PTGS1		approved		TRUE
nasal brushing	device	1	NCT02951559						FALSE
nasal dilator strips	other	1	NCT02209363						FALSE
nav5001	drug	2	NCT01950455						FALSE
navigated care	behavioral	2	NCT02213458						FALSE
nbm dbs	device	1	NCT01701544						FALSE
nbm stimulation	procedure	1	NCT02589925						FALSE
nbm-dbs	device	1	NCT02763397						FALSE
nbmi	drug	1	NCT04184063						FALSE
nbtx-001	drug	1	NCT04097080						FALSE
nd0611	drug	2	NCT01103011						FALSE
nd0612	combination product	1	NCT03462043						FALSE
nd0612	drug	4	NCT02726386						FALSE
nd0612 (levodopa/carbidopa solution)	drug	1	NCT02577523						FALSE
nd0612 solution for sc infusion	combination product	1	NCT04006210						FALSE
ndv-3a	biological	1	NCT03455309						FALSE
ndx-1017	drug	1	NCT03298672						FALSE
near infrared light	procedure	1	NCT03724136						FALSE
near infrared spectroscopy	other	1	NCT03060239						FALSE
nebicapone	drug	3	NCT03103399						FALSE
nebulizer	device	1	NCT02390089						FALSE
needle insertion	procedure	1	NCT03178175						FALSE
nefiracetam	drug	1	NCT00001933						FALSE
neflamapimod	drug	2	NCT03402659						FALSE
neither ismn nor cilostazol	other	1	NCT03451591						FALSE
nelotanserin	drug	3	NCT02708186						FALSE
neopulse magnetic stimulator	device	1	NCT00029666						FALSE
neptune krill oil	dietary supplement	1	NCT00867828						FALSE
neramexane	drug	1	NCT00090116						FALSE
nerve &amp; muscle ultrasonography	device	1	NCT01900132						FALSE
nerve conduction studies	device	1	NCT01900132						FALSE
nerve growth factor	drug	1	NCT01163825						FALSE
neu-120	drug	1	NCT00607451						FALSE
neupro	drug	1	NCT02055274						FALSE
neupro (reference)	drug	1	NCT04183634						FALSE
neupro 4mg/24hr transdermal patch	drug	1	NCT03733561						FALSE
neuraceq (florbetaben 18f)	drug	1	NCT02681172						FALSE
neural implantation group	procedure	1	NCT03347955						FALSE
neuro omega	device	1	NCT04197947						FALSE
neuro rx gamma asynchronous	device	1	NCT03328195						FALSE
neuro rx gamma synchronous	device	1	NCT03328195						FALSE
neuro-imaging, lumbar puncture	procedure	1	NCT03901261	device					TRUE
neuroad	device	2	NCT02166827						FALSE
neurocognitive communicator	device	1	NCT03100110						FALSE
neurocognitive function	other	1	NCT02034357						FALSE
neurocognitive testing	behavioral	1	NCT03860857						FALSE
neuroepo	drug	1	NCT04110678						FALSE
neurofeedback	behavioral	1	NCT03790774						FALSE
neurofeedback and physical exercise	other	1	NCT01867827						FALSE
neurohormonal mechanisms	biological	1	NCT03272230						FALSE
neuroimaging	other	1	NCT01582919						FALSE
neuroimaging	radiation	1	NCT02839187						FALSE
neurolith	device	2	NCT04333329						FALSE
neurologic music therapy	other	1	NCT03049033						FALSE
neurological and neuropsychological consultation, mri	other	1	NCT00684281						FALSE
neurological and neuropsychological consultation, mri, studies in imaging of drip, dna	other	1	NCT00684281						FALSE
neurological assessments	other	1	NCT03193099						FALSE
neurological examinations	other	1	NCT02576821						FALSE
neurological tests	other	1	NCT02134561						FALSE
neuromuscular magnetic stimulation (nmms)	device	1	NCT03618966						FALSE
neuromuscular stimulation device	device	1	NCT01970891						FALSE
neuromuscular taping	device	1	NCT03104049						FALSE
neuronation	other	1	NCT04259827						FALSE
neuronavigation-guided single-element focused ultrasound transducer	device	1	NCT04118764						FALSE
neuropsychiatric inventory clinician (npi-c)	behavioral	1	NCT03554226						FALSE
neuropsychologic assessment	other	1	NCT01325259						FALSE
neuropsychological assessment	diagnostic test	1	NCT03272230						FALSE
neuropsychological assessment	other	1	NCT01692977						FALSE
neuropsychological detailed tests with focus on social cognition	other	1	NCT03004573						FALSE
neuropsychological evaluation	behavioral	3	NCT02554331						FALSE
neuropsychological evaluation	other	1	NCT02811653						FALSE
neuropsychological examination	behavioral	1	NCT02236832						FALSE
neuropsychological examinations	other	1	NCT02576821						FALSE
neuropsychological test	behavioral	1	NCT02550275						FALSE
neuropsychological test battery	diagnostic test	1	NCT03333096						FALSE
neuropsychological tests	behavioral	1	NCT01876459						FALSE
neuropsychological tests	other	3	NCT02843906						FALSE
neuropsychology tests	other	1	NCT02522091						FALSE
neuroq	dietary supplement	1	NCT04149639						TRUE
neurostar repetitive transcranial magnetic stimulator	device	1	NCT02190084						FALSE
neurostimulation device for dysphagia	device	1	NCT00376506						FALSE
neurx diaphragm pacing system (dps)	device	1	NCT01605006						FALSE
neurx dps	device	1	NCT03034317						FALSE
neurx® diaphragm pacing system™ (dps)	device	1	NCT01938495						FALSE
new programming paradigm	device	1	NCT03732898						FALSE
new targeting procedure without electrophysiology	procedure	1	NCT01817088						FALSE
newgam 10% ivig	drug	1	NCT01300728						FALSE
ngp 555	drug	2	NCT02537938						FALSE
nh004 placebo	drug	1	NCT01844648	placebo					FALSE
nh004 tropicamide	drug	1	NCT01844648	molecular	CHRM4		approved		FALSE
nia diet for seniors	other	1	NCT02521818						FALSE
niacin	dietary supplement	2	NCT03808961						FALSE
niacinamide	dietary supplement	1	NCT03808961						FALSE
nic5-15	drug	1	NCT00470418						FALSE
nice cognitive training	behavioral	1	NCT01504958						FALSE
nice-system	device	1	NCT01168245						FALSE
nicoderm patch	drug	1	NCT00018278						FALSE
nicotinamide	drug	2	NCT00580931						FALSE
nicotinamide riboside	dietary supplement	2	NCT03568968						FALSE
nicotine	drug	1	NCT00957918						FALSE
nicotine gum	dietary supplement	1	NCT02452125						FALSE
nicotine nasal spray 10 mg/ml (0.5 mg/spray)	drug	1	NCT03865121						FALSE
nicotine patch	drug	1	NCT01216904						FALSE
nicotine transdermal patch	drug	2	NCT02720445						FALSE
nightime niv initiation	procedure	1	NCT02759003						FALSE
nilotinib	drug	1	NCT02281474						FALSE
nilotinib 150 mg	drug	1	NCT03764215	molecular	ABL1				FALSE
nilotinib 150mg oral capsule [tasigna]	drug	1	NCT02954978						FALSE
nilotinib 300mg oral capsule [tasigna]	drug	1	NCT02954978						FALSE
nilotinib capsule(s) once a day by mouth	drug	1	NCT02947893						FALSE
nilvadipine	drug	1	NCT02017340						FALSE
nimv with sigh breaths	device	1	NCT04240925						FALSE
nintendo wii	other	1	NCT03235284						FALSE
nirs eeg hr recording	device	1	NCT02795663						FALSE
nj-tube: silicon ed tube	device	1	NCT01479127						FALSE
nk cell infusion:	procedure	1	NCT01390402						FALSE
nly01	drug	1	NCT04154072						FALSE
nmes device comfort	device	1	NCT01968473						FALSE
nni-362	drug	1	NCT04074837						FALSE
no access to a respite structure	behavioral	1	NCT01639586						FALSE
no auditory cueing	other	1	NCT03253965						FALSE
no contact	behavioral	1	NCT03333837						FALSE
no contact-control group	other	1	NCT01155349						FALSE
no exercise class	other	1	NCT02885285						FALSE
no intervention	behavioral	1	NCT01506479						FALSE
no intervention	other	3	NCT03689764						FALSE
no practice effects (npe) cognitive battery, and miami computerized functional assessment scale (cfas)	other	1	NCT03900273						FALSE
no rhythm workers training	other	1	NCT02855710						FALSE
no study drug was administered in this study	other	1	NCT03664804						FALSE
no training	behavioral	1	NCT01647698						FALSE
no treatment	other	2	NCT03583879						FALSE
nocturnal polysomnograpahy (npsg)	procedure	1	NCT03053908						FALSE
non aerobic yoga	behavioral	1	NCT01811381						FALSE
non directive support group	behavioral	1	NCT03656159						FALSE
non invasive prenatal diagnosis	genetic	1	NCT03087526						FALSE
non invasive ventilation	device	1	NCT00560287						FALSE
non invasive ventilation delivered with one of the ventilator specifically designed for niv and given to the patient by the home care providers	device	1	NCT00560287						FALSE
non pharmacological therapy	other	1	NCT04194762						FALSE
non-active study drug	drug	1	NCT01469351						FALSE
non-adaptive working memory training task (i.e. an active control task)	behavioral	1	NCT01647698						FALSE
non-contact boxing training	behavioral	1	NCT01014663						FALSE
non-group dance	behavioral	1	NCT03333837						FALSE
non-invasive home ventilation	device	1	NCT01746381						FALSE
non-invasive intervention with focused ultrasound (exablate 4000)	device	1	NCT01698450						FALSE
non-invasive ventilation	device	1	NCT00958048						FALSE
non-music verbal interaction (placebo)	behavioral	1	NCT03643003						FALSE
non-musical (cooking) intervention	behavioral	1	NCT02833870						FALSE
non-pharmacological intervention	behavioral	1	NCT03672201						FALSE
non-random whole body vibration	behavioral	1	NCT03777501						FALSE
non-rehabilitation treatment	other	1	NCT02672943						FALSE
non-therapeutic red light	device	1	NCT02502045						FALSE
non-traditional group guitar instruction	other	1	NCT02925065						FALSE
nonexercise control group	behavioral	1	NCT01129115	none					TRUE
noninvasive positive pressure ventilation	device	3	NCT00386464						FALSE
nonmyeloablative allogeneic hematopoietic stem cell transplantation	procedure	6	NCT00589563						FALSE
nonmyeloablative allogeneic hsct	procedure	1	NCT00787761						FALSE
nonmyeloablative allogeneic transplant	procedure	2	NCT01272817						FALSE
nordic walking	other	2	NCT03355521						FALSE
nordic walking (only osteoporosis group)	other	1	NCT01417598						FALSE
nordic walking exercise	other	1	NCT04237025						FALSE
normal saline	drug	2	NCT00608231						FALSE
normal saline 0.9%	drug	1	NCT03184467						FALSE
normal saline 2ml	other	2	NCT02054208	placebo					FALSE
normal saline along with standard treatment	drug	1	NCT04052737						FALSE
northera	drug	1	NCT03034564						FALSE
nortriptyline	drug	2	NCT03652870						FALSE
novasoy	drug	1	NCT00205179						FALSE
novel locomotion treatment: curved-walking training	other	1	NCT03545477						FALSE
novolin-r insulin	drug	1	NCT04115384						FALSE
novus system	device	1	NCT02738242						FALSE
np001	drug	5	NCT03179501						FALSE
np031112	drug	1	NCT00948259						FALSE
npc transplantation	biological	1	NCT03119636						FALSE
npt088	drug	1	NCT03008161						FALSE
npt200-11	drug	1	NCT02606682						FALSE
npt520-34 (125 mg)	drug	1	NCT03954600						FALSE
nr2b nmda antagonist cp-101,606 (traxoprodil)	drug	1	NCT00163085						FALSE
nremsa	behavioral	1	NCT02710487						FALSE
ns	drug	1	NCT00397423						FALSE
ns 2330	drug	1	NCT00148486						FALSE
